category_id,category_name,category_path,parent_category_id,parent_category_path,depth,root_category_name,term_count,direct_term_count,source,review_status
CAT_00130,사법,정치·행정·법제>사법,CAT_00015,정치·행정·법제,2,정치·행정·법제,490,0,history_terms.term_lk,PENDING
CAT_00131,선거,정치·행정·법제>선거,CAT_00015,정치·행정·법제,2,정치·행정·법제,16,16,history_terms.term_lk,PENDING
CAT_00132,인사,정치·행정·법제>인사,CAT_00015,정치·행정·법제,2,정치·행정·법제,4652,4651,history_terms.term_lk,PENDING
CAT_00133,입법,정치·행정·법제>입법,CAT_00015,정치·행정·법제,2,정치·행정·법제,32,0,history_terms.term_lk,PENDING
CAT_00134,정치,정치·행정·법제>정치,CAT_00015,정치·행정·법제,2,정치·행정·법제,645,0,history_terms.term_lk,PENDING
CAT_00135,정치사상·정책,정치·행정·법제>정치사상·정책,CAT_00015,정치·행정·법제,2,정치·행정·법제,215,215,history_terms.term_lk,PENDING
CAT_00136,행정,정치·행정·법제>행정,CAT_00015,정치·행정·법제,2,정치·행정·법제,2906,0,history_terms.term_lk,PENDING
CAT_00137,지역별,지명>지역별,CAT_00016,지명,2,지명,1,0,history_terms.term_lk,PENDING
CAT_00138,공학·기술,학술·과학기술>공학·기술,CAT_00017,학술·과학기술,2,학술·과학기술,123,123,history_terms.term_lk,PENDING
CAT_00139,사회과학,학술·과학기술>사회과학,CAT_00017,학술·과학기술,2,학술·과학기술,90,90,history_terms.term_lk,PENDING
CAT_00140,의학·약학,학술·과학기술>의학·약학,CAT_00017,학술·과학기술,2,학술·과학기술,86,86,history_terms.term_lk,PENDING
CAT_00141,인문과학,학술·과학기술>인문과학,CAT_00017,학술·과학기술,2,학술·과학기술,494,494,history_terms.term_lk,PENDING
CAT_00142,자연과학,학술·과학기술>자연과학,CAT_00017,학술·과학기술,2,학술·과학기술,307,307,history_terms.term_lk,PENDING
CAT_00143,학술기구·단체,학술·과학기술>학술기구·단체,CAT_00017,학술·과학기술,2,학술·과학기술,551,551,history_terms.term_lk,PENDING
CAT_00144,경제기구,경제·산업>경제단체·기구>경제기구,CAT_00020,경제·산업>경제단체·기구,3,경제·산업,30,30,history_terms.term_lk,PENDING
CAT_00145,경제단체,경제·산업>경제단체·기구>경제단체,CAT_00020,경제·산업>경제단체·기구,3,경제·산업,123,123,history_terms.term_lk,PENDING
CAT_00146,회사·기업,경제·산업>경제단체·기구>회사·기업,CAT_00020,경제·산업>경제단체·기구,3,경제·산업,754,754,history_terms.term_lk,PENDING
CAT_00147,경공업,경제·산업>광공업>경공업,CAT_00024,경제·산업>광공업,3,경제·산업,2,2,history_terms.term_lk,PENDING
CAT_00148,광공업기구·단체,경제·산업>광공업>광공업기구·단체,CAT_00024,경제·산업>광공업,3,경제·산업,13,13,history_terms.term_lk,PENDING
CAT_00149,광공업도구·시설,경제·산업>광공업>광공업도구·시설,CAT_00024,경제·산업>광공업,3,경제·산업,32,32,history_terms.term_lk,PENDING
CAT_00150,광공업생산물,경제·산업>광공업>광공업생산물,CAT_00024,경제·산업>광공업,3,경제·산업,2,2,history_terms.term_lk,PENDING
CAT_00151,광공업정책·제도·법령,경제·산업>광공업>광공업정책·제도·법령,CAT_00024,경제·산업>광공업,3,경제·산업,10,10,history_terms.term_lk,PENDING
CAT_00152,광업,경제·산업>광공업>광업,CAT_00024,경제·산업>광공업,3,경제·산업,76,76,history_terms.term_lk,PENDING
CAT_00153,전자산업,경제·산업>광공업>전자산업,CAT_00024,경제·산업>광공업,3,경제·산업,4,4,history_terms.term_lk,PENDING
CAT_00154,중화학공업,경제·산업>광공업>중화학공업,CAT_00024,경제·산업>광공업,3,경제·산업,3,3,history_terms.term_lk,PENDING
CAT_00155,토목·건설업,경제·산업>광공업>토목·건설업,CAT_00024,경제·산업>광공업,3,경제·산업,7,7,history_terms.term_lk,PENDING
CAT_00156,농기구,경제·산업>농업>농기구,CAT_00025,경제·산업>농업,3,경제·산업,34,34,history_terms.term_lk,PENDING
CAT_00157,농업기구단체,경제·산업>농업>농업기구단체,CAT_00025,경제·산업>농업,3,경제·산업,38,38,history_terms.term_lk,PENDING
CAT_00158,농업기술,경제·산업>농업>농업기술,CAT_00025,경제·산업>농업,3,경제·산업,43,43,history_terms.term_lk,PENDING
CAT_00159,농업생산물,경제·산업>농업>농업생산물,CAT_00025,경제·산업>농업,3,경제·산업,33,33,history_terms.term_lk,PENDING
