canonical_term,category,count,problem_ids,match_key,thesaurus_term_ids,encyclopedia_eids,in_thesaurus,in_encyclopedia,match_status
신보군,단체,4,"['cj_v41_0202', 'cj_v41_0343', 'cj_v41_0772', 'cj_v41_1253']",신보군,5943,E0033000,True,True,both
조위총의 난,사건,4,"['cj_v41_0483', 'cj_v41_0961', 'cj_v41_1397', 'cj_v41_1442']",조위총의난,33564874,E0052464,True,True,both
상서성,기관,4,"['cj_v41_0112', 'cj_v41_0154', 'cj_v41_0964', 'cj_v41_1304']",상서성,20986892;20986913,E0027140,True,True,both
일본 원정,사건,4,"['cj_v41_0112', 'cj_v41_0154', 'cj_v41_0819', 'cj_v41_1495']",일본원정,33565138,E0047206,True,True,both
이인임,인물,4,"['cj_v41_0112', 'cj_v41_0391', 'cj_v41_0586', 'cj_v41_1255']",이인임,23315,E0045625,True,True,both
화포,유물,4,"['cj_v41_0111', 'cj_v41_0532', 'cj_v41_0970', 'cj_v41_1400']",화포,29365734,E0064927,True,True,both
홍건적,단체,4,"['cj_v41_0484', 'cj_v41_0916', 'cj_v41_1073', 'cj_v41_1351']",홍건적,8969;8970,E0063941,True,True,both
여진,국가,4,"['cj_v41_0483', 'cj_v41_0586', 'cj_v41_1058', 'cj_v41_1252']",여진,6321,E0036518,True,True,both
반민족행위처벌법,법,4,"['cj_v41_0470', 'cj_v41_0754', 'cj_v41_0798', 'cj_v41_1431']",반민족행위처벌법,4130,E0021477,True,True,both
칠정산 내편,문헌,4,"['cj_v41_0115', 'cj_v41_0302', 'cj_v41_0432', 'cj_v41_1220']",칠정산내편,25161,E0058537,True,True,both
9주,제도,4,"['cj_v41_0480', 'cj_v41_0624', 'cj_v41_0718', 'cj_v41_1391']",구주,29373127;17583;989;990,E0006041;E0006042,True,True,both
금동미륵보살반가사유상,유물,4,"['cj_v41_img_57_04', 'cj_v41_img_60_10', 'cj_v41_img_63_46', 'cj_v41_1051']",금동미륵보살반가사유상,44041494;12604735;12604737;12604739,E0007675;E0007676;E0007677;E0007678;E0007679;E0007680;E0007681;E0021818,True,True,both
정국공신,제도,4,"['cj_v41_0019', 'cj_v41_0255', 'cj_v41_0395', 'cj_v41_0446']",정국공신,7237,E0049989,True,True,both
군포,제도,4,"['cj_v41_0021', 'cj_v41_0118', 'cj_v41_0354', 'cj_v41_1217']",군포,2316,E0006725,True,True,both
조선민족전선연맹,단체,4,"['cj_v41_0747', 'cj_v41_0844', 'cj_v41_1279', 'cj_v41_1328']",조선민족전선연맹,7349,E0052038,True,True,both
의궤,문헌,4,"['cj_v41_0026', 'cj_v41_0218', 'cj_v41_0268', 'cj_v41_img_61_20']",의궤,9783,E0043136,True,True,both
문하부,기관,4,"['cj_v41_0254', 'cj_v41_0585', 'cj_v41_1111', 'cj_v41_1450']",문하부,3995,E0019712,True,True,both
이시애,인물,4,"['cj_v41_0396', 'cj_v41_0870', 'cj_v41_1015', 'cj_v41_1363']",이시애,23265,E0044983,True,True,both
유인우,인물,4,"['cj_v41_0391', 'cj_v41_0633', 'cj_v41_0914', 'cj_v41_1495']",유인우,23009,E0041762,True,True,both
무태,정책,4,"['cj_v41_0105', 'cj_v41_0151', 'cj_v41_0387', 'cj_v41_0814']",무태,4196780;20983369,E0019280,True,True,both
김부,인물,4,"['cj_v41_0106', 'cj_v41_0341', 'cj_v41_0720', 'cj_v41_1441']",김부,23632,E0009272;E0009273,True,True,both
삼례 집회,사건,4,"['cj_v41_0404', 'cj_v41_0547', 'cj_v41_0824', 'cj_v41_1510']",삼례집회,5049,E0026553,True,True,both
해조신문,문헌,4,"['cj_v41_0134', 'cj_v41_0228', 'cj_v41_img_56_35', 'cj_v41_1420']",해조신문,8824,E0062742,True,True,both
신미양요,사건,4,"['cj_v41_0408', 'cj_v41_0596', 'cj_v41_0831', 'cj_v41_1411']",신미양요,5934;5935,E0032961,True,True,both
서광범,인물,4,"['cj_v41_0266', 'cj_v41_0503', 'cj_v41_0926', 'cj_v41_1029']",서광범,21151,E0027624,True,True,both
성종,인물,4,"['cj_v41_0262', 'cj_v41_0296', 'cj_v41_0303', 'cj_v41_1141']",성종,10205;5463;5464,E0029552;E0029553;E0029554,True,True,both
진경산수화,사상,4,"['cj_v41_img_47_27', 'cj_v41_0591', 'cj_v41_0828', 'cj_v41_img_73_26']",진경산수화,7792,E0054575,True,True,both
김윤식,인물,4,"['cj_v41_0033', 'cj_v41_0125', 'cj_v41_0266', 'cj_v41_0926']",김윤식,21072,E0010113,True,True,both
최시형,인물,4,"['cj_v41_0031', 'cj_v41_0547', 'cj_v41_0881', 'cj_v41_0928']",최시형,21562,E0057440,True,True,both
공험진,지명,4,"['cj_v41_0721', 'cj_v41_0960', 'cj_v41_1009', 'cj_v41_1058']",공험진,35665057,E0004551,True,True,both
신민당,단체,4,"['cj_v41_0708', 'cj_v41_1041', 'cj_v41_1090', 'cj_v41_1479']",신민당,39859784;5938;14688334,E0032966;E0032967,True,True,both
동북 항일 연군,단체,4,"['cj_v41_0704', 'cj_v41_1036', 'cj_v41_1229', 'cj_v41_1520']",동북항일연군,3585,E0073387,True,True,both
박재혁,인물,4,"['cj_v41_0037', 'cj_v41_0275', 'cj_v41_0614', 'cj_v41_1070']",박재혁,10498744,E0021111,True,True,both
윤세주,인물,4,"['cj_v41_0037', 'cj_v41_0326', 'cj_v41_0704', 'cj_v41_1421']",윤세주,23043,E0042408,True,True,both
홍범도,인물,4,"['cj_v41_0280', 'cj_v41_0512', 'cj_v41_1086', 'cj_v41_1279']",홍범도,21599,E0064093;E0072270,True,True,both
지청천,인물,4,"['cj_v41_0186', 'cj_v41_0556', 'cj_v41_0844', 'cj_v41_1328']",지청천,21558,E0054421,True,True,both
국회,기관,4,"['cj_v41_0188', 'cj_v41_0615', 'cj_v41_0707', 'cj_v41_0798']",국회,48239900,E0006568,True,True,both
조선상고사,문헌,4,"['cj_v41_0184', 'cj_v41_0513', 'cj_v41_0650', 'cj_v41_1234']",조선상고사,26034,E0052083,True,True,both
상대등,제도,4,"['cj_v41_0147', 'cj_v41_0715', 'cj_v41_img_69_48', 'cj_v41_1149']",상대등,5099,E0027042,True,True,both
안시성,유적,4,"['cj_v41_0148', 'cj_v41_0383', 'cj_v41_1001', 'cj_v41_1050']",안시성,12594595,E0034847,True,True,both
결작,제도,4,"['cj_v41_0493', 'cj_v41_1117', 'cj_v41_1165', 'cj_v41_1217']",결작,1354;6294165,E0002203,True,True,both
곽우록,문헌,4,"['cj_v41_0495', 'cj_v41_0877', 'cj_v41_0971', 'cj_v41_1408']",곽우록,37755502,E0004681,True,True,both
정당성,기관,4,"['cj_v41_0103', 'cj_v41_0151', 'cj_v41_0481', 'cj_v41_1304']",정당성,7551,E0050065,True,True,both
서원경,지명,4,"['cj_v41_0101', 'cj_v41_0764', 'cj_v41_1053', 'cj_v41_1390']",서원경,20977387;24286,E0028092,True,True,both
병인양요,사건,4,"['cj_v41_0499', 'cj_v41_0758', 'cj_v41_0882', 'cj_v41_1257']",병인양요,4351;35659862,E0023142,True,True,both
민주헌법쟁취국민운동본부,단체,4,"['cj_v41_0142', 'cj_v41_0562', 'cj_v41_0804', 'cj_v41_1238']",민주헌법쟁취국민운동본부,4103,E0068892,True,True,both
자유당,단체,4,"['cj_v41_0282', 'cj_v41_img_53_47', 'cj_v41_0559', 'cj_v41_0991']",자유당,7002,E0048020;E0048021,True,True,both
승과,제도,4,"['cj_v41_0680', 'cj_v41_0759', 'cj_v41_img_62_50', 'cj_v41_1336']",승과,5762,E0032156,True,True,both
걸사표,문헌,4,"['cj_v41_0670', 'cj_v41_0858', 'cj_v41_1147', 'cj_v41_1489']",걸사표,20975911,E0002050,True,True,both
남북 협상,사건,4,"['cj_v41_0044', 'cj_v41_0372', 'cj_v41_0797', 'cj_v41_1188']",남북협상,2708,E0011936,True,True,both
미소공동위원회,기관,4,"['cj_v41_0656', 'cj_v41_1237', 'cj_v41_1282', 'cj_v41_1477']",미소공동위원회,4037,E0019961,True,True,both
양,국가,4,"['cj_v41_0290', 'cj_v41_0477', 'cj_v41_1049', 'cj_v41_1437']",양,19486;20981453,E0035389;E0035390,True,True,both
강우규,인물,4,"['cj_v41_0183', 'cj_v41_0234', 'cj_v41_0269', 'cj_v41_0327']",강우규,20993,E0001298,True,True,both
신류,인물,4,"['cj_v41_0640', 'cj_v41_0829', 'cj_v41_1166', 'cj_v41_1359']",신류,10497926,E0032885,True,True,both
예종,인물,4,"['cj_v41_0635', 'cj_v41_0731', 'cj_v41_0964', 'cj_v41_img_68_49']",예종,6406;6439,E0038020;E0038021,True,True,both
농광회사,기관,4,"['cj_v41_0087', 'cj_v41_0135', 'cj_v41_1376', 'cj_v41_1515']",농광회사,10748,E0013083,True,True,both
자작회,단체,4,"['cj_v41_0088', 'cj_v41_0653', 'cj_v41_0696', 'cj_v41_1422']",자작회,7075,E0048059,True,True,both
준왕,인물,4,"['cj_v41_0097', 'cj_v41_0241', 'cj_v41_0998', 'cj_v41_1338']",준왕,7878,E0053644,True,True,both
거푸집,유물,4,"['cj_v41_0096', 'cj_v41_0144', 'cj_v41_0520', 'cj_v41_0806']",거푸집,6496,E0001949,True,True,both
기대승,인물,4,"['cj_v41_0506', 'cj_v41_0638', 'cj_v41_1167', 'cj_v41_1309']",기대승,21698,E0008148,True,True,both
삼로,제도,4,"['cj_v41_0146', 'cj_v41_0379', 'cj_v41_0761', 'cj_v41_1048']",삼로,5050,E0026554,True,True,both
김상옥,인물,4,"['cj_v41_0372', 'cj_v41_0416', 'cj_v41_0983', 'cj_v41_1324']",김상옥,14690807;21824;21055,E0009358;E0009359;E0009360;E0071540,True,True,both
토산애용부인회,단체,4,"['cj_v41_0088', 'cj_v41_0653', 'cj_v41_0696', 'cj_v41_1422']",토산애용부인회,8292,E0059188,True,True,both
근우회,단체,4,"['cj_v41_0088', 'cj_v41_0698', 'cj_v41_1126', 'cj_v41_1275']",근우회,2411;44042133,E0007442,True,True,both
순도,인물,4,"['cj_v41_0621', 'cj_v41_1004', 'cj_v41_1098', 'cj_v41_1486']",순도,22776,E0031880,True,True,both
중정대,기관,4,"['cj_v41_0053', 'cj_v41_0201', 'cj_v41_0622', 'cj_v41_1247']",중정대,12591810,E0053928,True,True,both
주류성,지명,4,"['cj_v41_0052', 'cj_v41_0571', 'cj_v41_0858', 'cj_v41_1200']",주류성,20010,E0053223,True,True,both
김사미,인물,4,"['cj_v41_0595', 'cj_v41_0853', 'cj_v41_1059', 'cj_v41_1351']",김사미,21054,E0009296,True,True,both
구제도감,기관,4,"['cj_v41_0062', 'cj_v41_0249', 'cj_v41_0531', 'cj_v41_1141']",구제도감,2119;2098398,E0006027,True,True,both
성리학,사상,4,"['cj_v41_0632', 'cj_v41_0728', 'cj_v41_0853', 'cj_v41_1446']",성리학,5442,E0029308,True,True,both
경인선,기관,4,"['cj_v41_0174', 'cj_v41_0413', 'cj_v41_1126', 'cj_v41_1468']",경인선,1532,E0002748,True,True,both
총융청,기관,4,"['cj_v41_0171', 'cj_v41_0261', 'cj_v41_0972', 'cj_v41_1409']",총융청,8371,E0057147,True,True,both
백동화,유물,4,"['cj_v41_0173', 'cj_v41_0648', 'cj_v41_0887', 'cj_v41_1177']",백동화,4193,E0022046,True,True,both
환도성,유적,4,"['cj_v41_0620', 'cj_v41_0857', 'cj_v41_1050', 'cj_v41_1338']",환도성,25095,E0064979,True,True,both
보은 집회,사건,4,"['cj_v41_0603', 'cj_v41_0881', 'cj_v41_0978', 'cj_v41_1460']",보은집회,37753989,E0023509,True,True,both
신유박해,사건,4,"['cj_v41_0311', 'cj_v41_0692', 'cj_v41_0831', 'cj_v41_0925']",신유박해,5982,E0033249,True,True,both
동모산,지명,4,"['cj_v41_0151', 'cj_v41_0431', 'cj_v41_0675', 'cj_v41_0767']",동모산,24561,E0016449,True,True,both
삼강행실도,문헌,4,"['cj_v41_0537', 'cj_v41_0679', 'cj_v41_0732', 'cj_v41_1403']",삼강행실도,25125,E0026452;E0073192;E0075641,True,True,both
한인애국단,단체,4,"['cj_v41_0087', 'cj_v41_0328', 'cj_v41_0797', 'cj_v41_1429']",한인애국단,8674,E0061905,True,True,both
진단학회,단체,4,"['cj_v41_0086', 'cj_v41_0414', 'cj_v41_1085', 'cj_v41_1325']",진단학회,8112,E0054620,True,True,both
조선사편수회,기관,4,"['cj_v41_0086', 'cj_v41_0650', 'cj_v41_1325', 'cj_v41_1425']",조선사편수회,7473;7474,E0052072,True,True,both
천수,연호,4,"['cj_v41_0153', 'cj_v41_0578', 'cj_v41_0957', 'cj_v41_1433']",천수,20982053,E0055923,True,True,both
금성,지명,4,"['cj_v41_0152', 'cj_v41_img_52_03', 'cj_v41_0475', 'cj_v41_1395']",금성,18988;39854282,E0007845;E0007846;E0007847;E0007848,True,True,both
대한천일은행,기관,4,"['cj_v41_0363', 'cj_v41_0653', 'cj_v41_0841', 'cj_v41_1183']",대한천일은행,3333,E0015201,True,True,both
5군영,기관,4,"['cj_v41_0363', 'cj_v41_0931', 'cj_v41_1092', 'cj_v41_1224']",오군영,822,E0038125,True,True,both
6진,지명,4,"['cj_v41_0586', 'cj_v41_1068', 'cj_v41_1112', 'cj_v41_1357']",육진,885,E0042168,True,True,both
한명회,인물,4,"['cj_v41_0586', 'cj_v41_0686', 'cj_v41_0731', 'cj_v41_0778']",한명회,37756198,E0061599,True,True,both
정동행성,기관,4,"['cj_v41_0580', 'cj_v41_0633', 'cj_v41_0679', 'cj_v41_0961']",정동행성,7242,E0050111,True,True,both
고경명,인물,4,"['cj_v41_0067', 'cj_v41_1115', 'cj_v41_1226', 'cj_v41_1363']",고경명,21025,E0003297,True,True,both
신문고,기관,4,"['cj_v41_0585', 'cj_v41_0732', 'cj_v41_1020', 'cj_v41_1409']",신문고,5930,E0032945,True,True,both
대로,제도,4,"['cj_v41_0570', 'cj_v41_0999', 'cj_v41_1097', 'cj_v41_1484']",대로,10546;3152,E0014318,True,True,both
이용태,인물,4,"['cj_v41_0313', 'cj_v41_0742', 'cj_v41_0925', 'cj_v41_1027']",이용태,23289,E0045272;E0045273,True,True,both
소론,단체,4,"['cj_v41_0311', 'cj_v41_0587', 'cj_v41_0644', 'cj_v41_0872']",소론,5538,E0030029,True,True,both
시헌력,문헌,4,"['cj_v41_0167', 'cj_v41_0779', 'cj_v41_1120', 'cj_v41_1167']",시헌력,5871,E0032517,True,True,both
영정법,제도,4,"['cj_v41_0165', 'cj_v41_0400', 'cj_v41_0542', 'cj_v41_0917']",영정법,6397,E0037662,True,True,both
을미사변,사건,4,"['cj_v41_0317', 'cj_v41_0411', 'cj_v41_0930', 'cj_v41_1411']",을미사변,3805,E0042948,True,True,both
서재필,인물,4,"['cj_v41_0319', 'cj_v41_img_56_35', 'cj_v41_0501', 'cj_v41_1221']",서재필,23719,E0028152,True,True,both
충렬왕,인물,4,"['cj_v41_0564', 'cj_v41_1012', 'cj_v41_1207', 'cj_v41_1446']",충렬왕,8404,E0058130,True,True,both
국가보안법,법,4,"['cj_v41_0557', 'cj_v41_0662', 'cj_v41_0706', 'cj_v41_0842']",국가보안법,2128,E0006132,True,True,both
의주,지명,4,"['cj_v41_0161', 'cj_v41_0310', 'cj_v41_0541', 'cj_v41_0960']",의주,24867,E0043400;E0043401;E0043402,True,True,both
조선 의용대,단체,4,"['cj_v41_0326', 'cj_v41_0466', 'cj_v41_0747', 'cj_v41_1086']",조선의용대,7477,E0052178,True,True,both
종로,지명,4,"['cj_v41_0083', 'cj_v41_0324', 'cj_v41_0509', 'cj_v41_1313']",종로,24294,E0052918,True,True,both
대구,지명,4,"['cj_v41_0077', 'cj_v41_0800', 'cj_v41_1332', 'cj_v41_1373']",대구,3099;91462,E0014053;E0014055;E0014056,True,True,both
경세유표,문헌,4,"['cj_v41_0545', 'cj_v41_0639', 'cj_v41_0971', 'cj_v41_1014']",경세유표,25220,E0002596,True,True,both
잡과,제도,4,"['cj_v41_0543', 'cj_v41_0759', 'cj_v41_img_62_50', 'cj_v41_1336']",잡과,6976;7017,E0048200,True,True,both
임경업,인물,4,"['cj_v41_0353', 'cj_v41_0614', 'cj_v41_0640', 'cj_v41_0687']",임경업,21336,E0047365,True,True,both
숙종,인물,4,"['cj_v41_0944', 'cj_v41_0945', 'cj_v41_1260', 'cj_v41_1493']",숙종,5715;5716,E0031836;E0031837,True,True,both
이규보,인물,4,"['cj_v41_0012', 'cj_v41_0534', 'cj_v41_0681', 'cj_v41_1255']",이규보,21300,E0043772,True,True,both
정조,인물,4,"['cj_v41_0210', 'cj_v41_0258', 'cj_v41_0564', 'cj_v41_0737']",정조,7251;7492;20984681;22176,E0050866;E0050867;E0050868;E0050869;E0050870,True,True,both
우거왕,인물,4,"['cj_v41_0855', 'cj_v41_1338', 'cj_v41_1435', 'cj_v41_1483']",우거왕,6581,E0039783,True,True,both
동호문답,문헌,4,"['cj_v41_0212', 'cj_v41_0495', 'cj_v41_0779', 'cj_v41_1309']",동호문답,25580,E0016894,True,True,both
서적점,기관,4,"['cj_v41_0909', 'cj_v41_1057', 'cj_v41_1208', 'cj_v41_1390']",서적점,5323,E0028156,True,True,both
제헌 국회,기관,4,"['cj_v41_0895', 'cj_v41_1084', 'cj_v41_1135', 'cj_v41_1189']",제헌국회,7647,E0073413,True,True,both
이원익,인물,4,"['cj_v41_0875', 'cj_v41_0925', 'cj_v41_1117', 'cj_v41_1217']",이원익,21276,E0045372;E0045373,True,True,both
자산어보,문헌,4,"['cj_v41_0437', 'cj_v41_0608', 'cj_v41_1345', 'cj_v41_1458']",자산어보,25988,E0047944,True,True,both
중명전,기관,4,"['cj_v41_0126', 'cj_v41_0887', 'cj_v41_1124', 'cj_v41_1464']",중명전,4199617,E0053748,True,True,both
서유견문,문헌,4,"['cj_v41_0124', 'cj_v41_0843', 'cj_v41_0988', 'cj_v41_1315']",서유견문,25732,E0028107,True,True,both
통신사,제도,4,"['cj_v41_0224', 'cj_v41_0452', 'cj_v41_0975', 'cj_v41_1026']",통신사,29375888;8428,E0059351;E0059352;E0059353;E0059354,True,True,both
사노비,제도,4,"['cj_v41_0223', 'cj_v41_0316', 'cj_v41_1076', 'cj_v41_1266']",사노비,9101,E0025429,True,True,both
김상헌,인물,4,"['cj_v41_0120', 'cj_v41_0781', 'cj_v41_1164', 'cj_v41_1453']",김상헌,21829,E0009385;E0009386;E0075737,True,True,both
정약전,인물,4,"['cj_v41_0437', 'cj_v41_0608', 'cj_v41_1345', 'cj_v41_1458']",정약전,21543,E0050551,True,True,both
기사환국,사건,3,"['cj_v41_1308', 'cj_v41_1404', 'cj_v41_1455']",기사환국,2576,E0008266,True,True,both
금강삼매경론,문헌,3,"['cj_v41_0008', 'cj_v41_0670', 'cj_v41_1100']",금강삼매경론,25379,E0007545,True,True,both
신편제종교장총록,문헌,3,"['cj_v41_0008', 'cj_v41_0865', 'cj_v41_1392']",신편제종교장총록,25831,E0033501,True,True,both
명주,지명,3,"['cj_v41_0007', 'cj_v41_0862', 'cj_v41_0868']",명주,10120;29373248;20972330,E0018371;E0018372;E0018373,True,True,both
무오사화,사건,3,"['cj_v41_0209', 'cj_v41_0638', 'cj_v41_1451']",무오사화,3909,E0019174,True,True,both
제왕운기,문헌,3,"['cj_v41_0207', 'cj_v41_0393', 'cj_v41_1446']",제왕운기,26002,E0051343;E0069088;E0069089;E0069879,True,True,both
이황,인물,3,"['cj_v41_0853', 'cj_v41_1160', 'cj_v41_1429']",이황,21307,E0046626,True,True,both
독사신론,문헌,3,"['cj_v41_0843', 'cj_v41_1325', 'cj_v41_1477']",독사신론,25517,E0016001,True,True,both
한국민주당,단체,3,"['cj_v41_0845', 'cj_v41_1043', 'cj_v41_1381']",한국민주당,8567,E0061185,True,True,both
독도,지명,3,"['cj_v41_0838', 'cj_v41_1318', 'cj_v41_1366']",독도,24558,E0015953,True,True,both
법흥왕,인물,3,"['cj_v41_0429', 'cj_v41_0522', 'cj_v41_1146']",법흥왕,4272,E0022785,True,True,both
주세붕,인물,3,"['cj_v41_0450', 'cj_v41_0490', 'cj_v41_0967']",주세붕,21553,E0053318,True,True,both
이익,인물,3,"['cj_v41_0451', 'cj_v41_0495', 'cj_v41_1120']",이익,21281;21305,E0045560;E0045561;E0045562,True,True,both
홍대용,인물,3,"['cj_v41_0451', 'cj_v41_1010', 'cj_v41_1120']",홍대용,21598,E0064019,True,True,both
전라도,지명,3,"['cj_v41_0443', 'cj_v41_0567', 'cj_v41_0846']",전라도,20971594;90418;90322;91482;24917,E0049367,True,True,both
직전,제도,3,"['cj_v41_0444', 'cj_v41_0488', 'cj_v41_1069']",직전,4202649;18878649,E0054533,True,True,both
동몽선습,문헌,3,"['cj_v41_0444', 'cj_v41_0537', 'cj_v41_1446']",동몽선습,8153,E0016452,True,True,both
양역,제도,3,"['cj_v41_0021', 'cj_v41_0542', 'cj_v41_1064']",양역,6291,E0035666,True,True,both
이두,제도,3,"['cj_v41_0245', 'cj_v41_0478', 'cj_v41_0719']",이두,6796,E0044081,True,True,both
매소성,지명,3,"['cj_v41_0244', 'cj_v41_0672', 'cj_v41_0858']",매소성,3757,E0017962,True,True,both
부곡,제도,3,"['cj_v41_0565', 'cj_v41_1008', 'cj_v41_1494']",부곡,4518,E0024097,True,True,both
4·19 혁명,사건,3,"['cj_v41_0560', 'cj_v41_1040', 'cj_v41_1236']",419혁명,781;21000705,E0025902,True,True,both
민영환,인물,3,"['cj_v41_0074', 'cj_v41_1366', 'cj_v41_1464']",민영환,21120,E0020206,True,True,both
서학,사상,3,"['cj_v41_0072', 'cj_v41_0404', 'cj_v41_0544']",서학,5331;5332,E0028262;E0028263;E0028264,True,True,both
청계천,지명,3,"['cj_v41_0327', 'cj_v41_0729', 'cj_v41_0776']",청계천,24984,E0056257;E0056258,True,True,both
제가 회의,제도,3,"['cj_v41_0334', 'cj_v41_1096', 'cj_v41_img_73_04']",제가회의,12592048,E0077924,True,True,both
제사,제도,3,"['cj_v41_0334', 'cj_v41_0500', 'cj_v41_0785']",제사,7584;13931;17884;20997828;44040710;44040712;44040714,E0051293;E0051294,True,True,both
경재소,기관,3,"['cj_v41_0163', 'cj_v41_0211', 'cj_v41_0490']",경재소,1540,E0002762,True,True,both
인조,인물,3,"['cj_v41_0160', 'cj_v41_0567', 'cj_v41_1262']",인조,6984,E0047028,True,True,both
김창숙,인물,3,"['cj_v41_img_53_47', 'cj_v41_0370', 'cj_v41_1130']",김창숙,21983,E0010706,True,True,both
향,제도,3,"['cj_v41_0565', 'cj_v41_1008', 'cj_v41_1494']",향,8803,E0062871;E0062872,True,True,both
동계,지명,3,"['cj_v41_0539', 'cj_v41_0678', 'cj_v41_0846']",동계,24289,E0016204;E0016205,True,True,both
도사,인물,3,"['cj_v41_0538', 'cj_v41_1099', 'cj_v41_1499']",도사,3403;3404;3406;3408;16665;20994347;16807489;39851145,E0015661;E0015662;E0015663;E0015664;E0015665,True,True,both
중종,인물,3,"['cj_v41_0538', 'cj_v41_1114', 'cj_v41_1213']",중종,10633,E0053932,True,True,both
교장,문헌,3,"['cj_v41_0345', 'cj_v41_0680', 'cj_v41_1496']",교장,8390535;33565582,E0005559;E0005560,True,True,both
무령왕,인물,3,"['cj_v41_0340', 'cj_v41_0810', 'cj_v41_1187']",무령왕,3876,E0019017,True,True,both
나철,인물,3,"['cj_v41_1130', 'cj_v41_1418', 'cj_v41_1464']",나철,21093,E0011526,True,True,both
박서,인물,3,"['cj_v41_0158', 'cj_v41_0532', 'cj_v41_1158']",박서,22552;21123,E0020763;E0020764;E0020765,True,True,both
종묘,유적,3,"['cj_v41_0160', 'cj_v41_0297', 'cj_v41_1172']",종묘,7507,E0052928,True,True,both
도방,기관,3,"['cj_v41_0157', 'cj_v41_0913', 'cj_v41_1447']",도방,3400,E0015646,True,True,both
박승환,인물,3,"['cj_v41_0549', 'cj_v41_0649', 'cj_v41_1318']",박승환,21125,E0020880,True,True,both
수월관음도,문화재,3,"['cj_v41_img_59_15', 'cj_v41_img_64_16', 'cj_v41_img_71_16']",수월관음도,12598030;29368912;29368914;29368907;14688243;14688245;14688247,E0031614;E0031615;E0031616;E0031617;E0031618;E0031619;E0031620;E0069525;E0069589,True,True,both
이고,인물,3,"['cj_v41_0579', 'cj_v41_0866', 'cj_v41_1157']",이고,33563860,E0043623;E0043624,True,True,both
대동여지도,문헌,3,"['cj_v41_0065', 'cj_v41_0262', 'cj_v41_1120']",대동여지도,12599029;3140,E0014266,True,True,both
명성황후,인물,3,"['cj_v41_0063', 'cj_v41_0126', 'cj_v41_1075']",명성황후,21113,E0018297,True,True,both
유계춘,인물,3,"['cj_v41_0068', 'cj_v41_0641', 'cj_v41_1073']",유계춘,22971,E0041256,True,True,both
소윤,사상,3,"['cj_v41_0066', 'cj_v41_0351', 'cj_v41_1163']",소윤,5567;5568;5570,E0030229;E0030230;E0030231,True,True,both
소현 세자,인물,3,"['cj_v41_0067', 'cj_v41_0305', 'cj_v41_1164']",소현세자,21163,E0030360,True,True,both
신문왕,인물,3,"['cj_v41_0574', 'cj_v41_0642', 'cj_v41_1292']",신문왕,5932,E0032950,True,True,both
상가,제도,3,"['cj_v41_0570', 'cj_v41_0999', 'cj_v41_1484']",상가,5082,E0026990,True,True,both
패자,제도,3,"['cj_v41_0570', 'cj_v41_0999', 'cj_v41_1484']",패자,37761232;8544,E0059808,True,True,both
영류왕,인물,3,"['cj_v41_0572', 'cj_v41_1151', 'cj_v41_1438']",영류왕,6428,E0037359,True,True,both
동양평화론,문헌,3,"['cj_v41_0322', 'cj_v41_0460', 'cj_v41_1179']",동양평화론,10496170,E0016677,True,True,both
영은문,유적,3,"['cj_v41_0319', 'cj_v41_0359', 'cj_v41_0501']",영은문,6373,E0037621,True,True,both
혼천의,유물,3,"['cj_v41_0167', 'cj_v41_0263', 'cj_v41_0432']",혼천의,8991,E0063921,True,True,both
상평창,기관,3,"['cj_v41_0062', 'cj_v41_1005', 'cj_v41_1198']",상평창,5204;5205,E0027384,True,True,both
혜민국,기관,3,"['cj_v41_0062', 'cj_v41_0861', 'cj_v41_1301']",혜민국,2100061;8807,E0063591,True,True,both
세종,인물,3,"['cj_v41_0635', 'cj_v41_1112', 'cj_v41_1211']",세종,5503,E0029857;E0072058,True,True,both
첨성대,문화재,3,"['cj_v41_0054', 'cj_v41_img_52_03', 'cj_v41_0664']",첨성대,35661592;44041370;91206,E0056197,True,True,both
한산도,지명,3,"['cj_v41_0353', 'cj_v41_0399', 'cj_v41_0970']",한산도,14700837;14689644,E0061674,True,True,both
나석주,인물,3,"['cj_v41_0310', 'cj_v41_0370', 'cj_v41_1467']",나석주,21091,E0011382,True,True,both
성절사,단체,3,"['cj_v41_0308', 'cj_v41_0402', 'cj_v41_0536']",성절사,5462,E0029537,True,True,both
조선물산장려회,단체,3,"['cj_v41_0173', 'cj_v41_0414', 'cj_v41_1181']",조선물산장려회,7365,E0052021,True,True,both
무역소,기관,3,"['cj_v41_0536', 'cj_v41_1053', 'cj_v41_1256']",무역소,35662940,E0019153,True,True,both
심덕부,인물,3,"['cj_v41_0535', 'cj_v41_0721', 'cj_v41_0876']",심덕부,24000,E0033763,True,True,both
김경손,인물,3,"['cj_v41_0532', 'cj_v41_1059', 'cj_v41_1158']",김경손,21717,E0008634,True,True,both
명동학교,기관,3,"['cj_v41_0085', 'cj_v41_img_49_39', 'cj_v41_1178']",명동학교,3793;17712;17740;39850718,E0018242,True,True,both
시무책,문헌,3,"['cj_v41_0529', 'cj_v41_0765', 'cj_v41_1102']",시무책,10418,E0032359,True,True,both
백마산성,유적,3,"['cj_v41_0353', 'cj_v41_0640', 'cj_v41_0687']",백마산성,33566621,E0022109,True,True,both
