topic_type,material_type,major_type,minor_type,question_task,question_task_instruction,difficulty_label,training_count,sample_source_id
매체,짧은 설명 자료,연대기의 파악,전후 시기 판단,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",어려움,1,advanced_49_24
기타,짧은 설명 자료,역사 지식의 이해,기본 사실·개념 확인,negative_select,"material의 조건에 적절하지 않은 사실을 묻는 발문을 만들고, answer_fact_basis의 부적절한 사실을 정답 선지로 만든다.",어려움,1,advanced_49_46
제도,짧은 설명 자료,역사 지식의 이해,제도·기관·정책 기능 이해,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,1,advanced_50_17
인물,탐구 자료,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,negative_select,"material의 조건에 적절하지 않은 사실을 묻는 발문을 만들고, answer_fact_basis의 부적절한 사실을 정답 선지로 만든다.",어려움,1,advanced_50_18
제도,탐구 자료,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",어려움,1,advanced_51_06
사건,사건 배열 자료,연대기의 파악,사건·자료 순서 배열,order,"material에 제시된 사건들의 시간 순서를 묻는 발문을 만들고, answer_fact_basis의 순서 근거를 정답 형식으로 만든다.",쉬움,1,advanced_52_50
기타,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,multi_select_combo,"material과 보기 조건에 맞는 항목 조합을 묻는 발문을 만들고, answer_fact_basis의 항목 근거를 정답 조합으로 만든다.",보통,1,advanced_53_08
사건,짧은 설명 자료,연대기의 파악,전후 시기 판단,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,1,advanced_53_42
집단,짧은 설명 자료,역사 지식의 이해,기본 사실·개념 확인,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,1,advanced_53_48
집단,사건 배열 자료,연대기의 파악,사건·자료 순서 배열,order,"material에 제시된 사건들의 시간 순서를 묻는 발문을 만들고, answer_fact_basis의 순서 근거를 정답 형식으로 만든다.",보통,1,advanced_54_50
인물,짧은 설명 자료,연대기의 파악,전후 시기 판단,period_between,"두 사건이나 자료 사이의 시기를 판단하게 하는 발문을 만들고, 그 사이에 해당하는 answer_fact_basis의 사실을 정답 선지로 만든다.",보통,1,advanced_55_04
제도,사건 배열 자료,연대기의 파악,사건·자료 순서 배열,order,"material에 제시된 사건들의 시간 순서를 묻는 발문을 만들고, answer_fact_basis의 순서 근거를 정답 형식으로 만든다.",어려움,1,advanced_55_11
사건,짧은 설명 자료,역사 지식의 이해,기본 사실·개념 확인,negative_select,"material의 조건에 적절하지 않은 사실을 묻는 발문을 만들고, answer_fact_basis의 부적절한 사실을 정답 선지로 만든다.",어려움,1,advanced_55_23
인물,짧은 설명 자료,연대기의 파악,전후 시기 판단,multi_select_combo,"material과 보기 조건에 맞는 항목 조합을 묻는 발문을 만들고, answer_fact_basis의 항목 근거를 정답 조합으로 만든다.",보통,1,advanced_55_29
제도,짧은 설명 자료,연대기의 파악,전후 시기 판단,period_between,"두 사건이나 자료 사이의 시기를 판단하게 하는 발문을 만들고, 그 사이에 해당하는 answer_fact_basis의 사실을 정답 선지로 만든다.",쉬움,1,advanced_55_39
기타,짧은 설명 자료,역사 지식의 이해,기본 사실·개념 확인,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,1,advanced_56_10
집단,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,multi_select_combo,"material과 보기 조건에 맞는 항목 조합을 묻는 발문을 만들고, answer_fact_basis의 항목 근거를 정답 조합으로 만든다.",어려움,1,advanced_56_38
제도,짧은 설명 자료,결론의 도출 및 평가,의의·영향·결과 평가,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,1,advanced_57_23
인물,탐구 자료,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,multi_select_combo,"material과 보기 조건에 맞는 항목 조합을 묻는 발문을 만들고, answer_fact_basis의 항목 근거를 정답 조합으로 만든다.",어려움,1,advanced_57_35
집단,탐구 자료,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,multi_select_combo,"material과 보기 조건에 맞는 항목 조합을 묻는 발문을 만들고, answer_fact_basis의 항목 근거를 정답 조합으로 만든다.",보통,1,advanced_57_36
집단,탐구 자료,역사 탐구의 설계 및 수행,자료 수집·검색 방법,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,1,advanced_57_39
인물,짧은 설명 자료,결론의 도출 및 평가,의의·영향·결과 평가,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",보통,1,advanced_57_41
사건,짧은 설명 자료,연대기의 파악,전후 시기 판단,multi_select_combo,"material과 보기 조건에 맞는 항목 조합을 묻는 발문을 만들고, answer_fact_basis의 항목 근거를 정답 조합으로 만든다.",보통,1,advanced_57_44
매체,짧은 설명 자료,연대기의 파악,전후 시기 판단,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",보통,1,advanced_58_07
인물,짧은 설명 자료,연대기의 파악,전후 시기 판단,period_between,"두 사건이나 자료 사이의 시기를 판단하게 하는 발문을 만들고, 그 사이에 해당하는 answer_fact_basis의 사실을 정답 선지로 만든다.",어려움,1,advanced_58_22
매체,짧은 설명 자료,연대기의 파악,전후 시기 판단,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,1,advanced_59_25
사건,탐구 자료,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,1,advanced_59_42
기타,탐구 자료,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,negative_select,"material의 조건에 적절하지 않은 사실을 묻는 발문을 만들고, answer_fact_basis의 부적절한 사실을 정답 선지로 만든다.",보통,1,advanced_59_47
제도,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",어려움,1,advanced_60_16
제도,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,multi_select_combo,"material과 보기 조건에 맞는 항목 조합을 묻는 발문을 만들고, answer_fact_basis의 항목 근거를 정답 조합으로 만든다.",어려움,1,advanced_60_27
집단,짧은 설명 자료,연대기의 파악,전후 시기 판단,negative_select,"material의 조건에 적절하지 않은 사실을 묻는 발문을 만들고, answer_fact_basis의 부적절한 사실을 정답 선지로 만든다.",보통,1,advanced_60_47
매체,짧은 설명 자료,결론의 도출 및 평가,비교·공통점 도출,multi_select_combo,"material과 보기 조건에 맞는 항목 조합을 묻는 발문을 만들고, answer_fact_basis의 항목 근거를 정답 조합으로 만든다.",보통,1,advanced_61_29
인물,짧은 설명 자료,결론의 도출 및 평가,비교·공통점 도출,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",보통,1,advanced_62_28
제도,짧은 설명 자료,결론의 도출 및 평가,비교·공통점 도출,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",어려움,1,advanced_62_49
매체,탐구 자료,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",보통,1,advanced_63_02
제도,짧은 설명 자료,연대기의 파악,전후 시기 판단,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",어려움,1,advanced_63_44
사건,짧은 설명 자료,결론의 도출 및 평가,비교·공통점 도출,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",보통,1,advanced_63_47
사건,연표 자료,연대기의 파악,연표·흐름 빈칸,timeline_position,"material의 사건이 연표의 어느 구간에 해당하는지 묻는 발문을 만들고, answer_fact_basis의 위치 근거를 정답 기호로 만든다.",쉬움,1,advanced_64_12
인물,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,negative_select,"material의 조건에 적절하지 않은 사실을 묻는 발문을 만들고, answer_fact_basis의 부적절한 사실을 정답 선지로 만든다.",어려움,1,advanced_64_49
집단,탐구 자료,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,negative_select,"material의 조건에 적절하지 않은 사실을 묻는 발문을 만들고, answer_fact_basis의 부적절한 사실을 정답 선지로 만든다.",보통,1,advanced_65_39
집단,연표 자료,연대기의 파악,연표·흐름 빈칸,timeline_position,"material의 사건이 연표의 어느 구간에 해당하는지 묻는 발문을 만들고, answer_fact_basis의 위치 근거를 정답 기호로 만든다.",어려움,1,advanced_65_47
제도,짧은 설명 자료,역사 지식의 이해,제도·기관·정책 기능 이해,negative_select,"material의 조건에 적절하지 않은 사실을 묻는 발문을 만들고, answer_fact_basis의 부적절한 사실을 정답 선지로 만든다.",보통,1,advanced_66_10
매체,짧은 설명 자료,결론의 도출 및 평가,비교·공통점 도출,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",보통,1,advanced_66_30
집단,짧은 설명 자료,연대기의 파악,전후 시기 판단,period_between,"두 사건이나 자료 사이의 시기를 판단하게 하는 발문을 만들고, 그 사이에 해당하는 answer_fact_basis의 사실을 정답 선지로 만든다.",어려움,1,advanced_66_49
사건,자료 제시문,역사 자료의 분석 및 해석,보기 조합 판단,multi_select_combo,"material과 보기 조건에 맞는 항목 조합을 묻는 발문을 만들고, answer_fact_basis의 항목 근거를 정답 조합으로 만든다.",쉬움,1,advanced_67_38
기타,자료 제시문,역사 자료의 분석 및 해석,보기 조합 판단,multi_select_combo,"material과 보기 조건에 맞는 항목 조합을 묻는 발문을 만들고, answer_fact_basis의 항목 근거를 정답 조합으로 만든다.",어려움,1,advanced_69_03
문화,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,negative_select,"material의 조건에 적절하지 않은 사실을 묻는 발문을 만들고, answer_fact_basis의 부적절한 사실을 정답 선지로 만든다.",어려움,1,advanced_74_13
문화,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,negative_select,"material의 조건에 적절하지 않은 사실을 묻는 발문을 만들고, answer_fact_basis의 부적절한 사실을 정답 선지로 만든다.",쉬움,1,advanced_74_40
