rank,term_id,topic,source_era,pdf_hit_total,pdf_source_count,pdf_score,hits_에듀윌_한국사능력검정시험_빈출개념요약집_저작권_에듀윌_,hits_벼락치기_한능검_2026_심화_필수개념_노트,hits_한능검_심화1급_정리최종,hits_최태성_별별한국사_필기_공유용,topic_type,neo4j_entity_types,neo4j_themes,neo4j_eras,keyword_source,normalized_era,source_field
224,tg_003_2060,원납전,조선 시대,2,2,42,0,0,1,1,기타,,,조선후기,pdf_textbook_term,조선,
225,tg_003_1350,위화도 회군,조선 시대,2,2,42,1,1,0,0,기타,,,,pdf_textbook_term,조선,
226,tg_003_1390,을사사화,조선 시대,2,2,42,0,1,0,1,사건,,,조선전기,pdf_textbook_term,조선,
227,tg_001_0800,이사금,삼국 시대,2,2,42,1,0,0,1,기타,,,삼국시대,pdf_textbook_term,삼국,
228,tg_002_0850,전민변정도감,고려 시대,2,2,42,0,1,0,1,기타,,,고려후기,pdf_textbook_term,고려,
229,tg_001_0810,정당성,통일 신라와 발해,2,2,42,0,0,1,1,기타,,,남북국시대,pdf_textbook_term,남북국,
230,tg_002_0190,정혜쌍수,고려 시대,2,2,42,0,1,1,0,사상·종교,,,고려시대,pdf_textbook_term,고려,
231,tg_002_0890,제위보,고려 시대,2,2,42,0,1,0,1,기타,,,고려시대,pdf_textbook_term,고려,
232,tg_003_0560,조의제문,조선 시대,2,2,42,0,1,0,1,기타,,,조선시대,pdf_textbook_term,조선,
233,tg_002_1030,주현,고려 시대,2,2,42,0,0,1,1,기타,,,,pdf_textbook_term,고려,
234,tg_001_0230,진흥왕 순수비,삼국 시대,2,2,42,1,0,1,0,기타,,,,pdf_textbook_term,삼국,
235,tg_001_0910,집사부,삼국 시대,2,2,42,1,0,0,1,기타,,,고대,pdf_textbook_term,삼국,
236,tg_001_0920,차차웅,삼국 시대,2,2,42,1,0,0,1,기타,,,삼국시대,pdf_textbook_term,삼국,
237,tg_002_0930,첨의부,고려 시대,2,2,42,0,0,1,1,기타,,,고려후기,pdf_textbook_term,고려,
238,tg_004_1140,태극서관,근대,2,2,42,0,1,0,1,기타,,,근대,pdf_textbook_term,개항기,
239,tg_004_1170,통리기무아문,근대,2,2,42,0,1,0,1,기타,,,개항기,pdf_textbook_term,개항기,
240,tg_004_2390,한국독립운동지혈사,근대,2,2,42,0,0,1,1,문헌,,,일제시기,pdf_textbook_term,개항기,
241,tg_003_2960,홍경래의 난,조선 시대,2,2,42,0,1,1,0,기타,,,,pdf_textbook_term,조선,
242,tg_003_1510,5군영,조선 시대,5,1,25,0,0,0,5,기타,,,조선후기,pdf_textbook_term,조선,
243,tg_003_0790,5위,조선 시대,4,1,24,0,0,0,4,기타,,,조선전기,pdf_textbook_term,조선,
244,tg_002_1060,강동 6주,고려 시대,4,1,24,4,0,0,0,기타,,,,pdf_textbook_term,고려,
245,tg_002_0570,대간,고려 시대,4,1,24,0,0,0,4,기타,,,고려시대-조선시대,pdf_textbook_term,고려,
246,tg_003_0190,동인,조선 시대,4,1,24,0,0,0,4,단체,,,통시대|조선시대,pdf_textbook_term,조선,
247,tg_003_0260,사족,조선 시대,4,1,24,0,0,0,4,기타,,,고려시대-조선시대,pdf_textbook_term,조선,
248,tg_003_2610,세도 정치,조선 시대,4,1,24,4,0,0,0,기타,,,,pdf_textbook_term,조선,
249,tg_003_0740,호적,조선 시대,4,1,24,0,0,0,4,제도,,,조선시대|통시대,pdf_textbook_term,조선,
250,tg_003_0470,요역,조선 시대,3,1,23,0,0,0,3,기타,,,통시대,pdf_textbook_term,조선,
251,tg_004_0860,절영도,근대,3,1,23,0,0,0,3,장소,,,,pdf_textbook_term,개항기,
252,tg_003_2910,탕평책,조선 시대,3,1,23,3,0,0,0,기타,,,,pdf_textbook_term,조선,
253,tg_004_1260,한러은행,근대,3,1,23,0,0,0,3,단체,,,근대,pdf_textbook_term,개항기,
254,tg_003_1490,훈구,조선 시대,3,1,23,0,0,0,3,단체,,,조선시대,pdf_textbook_term,조선,
255,tg_001_0390,16관등,삼국 시대,2,1,22,0,0,2,0,제도,,,삼국시대,pdf_textbook_term,삼국,
256,tg_002_0420,2성,고려 시대,2,1,22,0,0,0,2,기타,,,고려시대,pdf_textbook_term,고려,
257,tg_003_0770,3포,조선 시대,2,1,22,0,0,0,2,기타,,,,pdf_textbook_term,조선,
258,tg_002_0450,5도,고려 시대,2,1,22,0,0,0,2,기타,,,고려시대,pdf_textbook_term,고려,
259,tg_003_0830,감영,조선 시대,2,1,22,0,0,0,2,기타,,,조선시대,pdf_textbook_term,조선,
260,tg_002_0510,과거 제도,고려 시대,2,1,22,2,0,0,0,기타,,,,pdf_textbook_term,고려,
261,tg_004_2700,국민부,근대,2,1,22,0,0,0,2,기타,,,일제시기,pdf_textbook_term,개항기,
262,tg_003_2520,남인,조선 시대,2,1,22,0,0,0,2,단체,,,조선후기,pdf_textbook_term,조선,
263,tg_003_2380,노론,조선 시대,2,1,22,0,0,0,2,단체,,,조선후기,pdf_textbook_term,조선,
264,tg_002_0580,도방,고려 시대,2,1,22,0,0,0,2,기타,,,고려후기,pdf_textbook_term,고려,
265,tg_002_0600,도평의사사,고려 시대,2,1,22,0,0,0,2,기타,,,고려후기,pdf_textbook_term,고려,
266,tg_004_1510,보안법,근대,2,1,22,0,0,0,2,기타,,,근대,pdf_textbook_term,개항기,
267,tg_003_1810,부농,조선 시대,2,1,22,0,0,0,2,기타,,,,pdf_textbook_term,조선,
268,tg_004_1940,산미 증식 계획,근대,2,1,22,2,0,0,0,기타,,,,pdf_textbook_term,개항기,
269,tg_003_1840,삼수병,조선 시대,2,1,22,0,0,0,2,기타,,,조선후기,pdf_textbook_term,조선,
270,tg_003_2620,소론,조선 시대,2,1,22,0,0,0,2,단체,,,조선후기,pdf_textbook_term,조선,
271,tg_003_2630,속오군,조선 시대,2,1,22,0,0,0,2,기타,,,조선후기,pdf_textbook_term,조선,
272,tg_004_2560,신사 참배,근대,2,1,22,2,0,0,0,기타,,,,pdf_textbook_term,개항기,
273,tg_003_2100,은결,조선 시대,2,1,22,0,0,2,0,제도,,,조선시대,pdf_textbook_term,조선,
274,tg_003_1380,을묘왜변,조선 시대,2,1,22,0,0,0,2,기타,,,조선전기,pdf_textbook_term,조선,
275,tg_002_0820,음서 제도,고려 시대,2,1,22,2,0,0,0,기타,,,,pdf_textbook_term,고려,
276,tg_003_2140,임원경제지,조선 시대,2,1,22,0,0,0,2,문헌,,,조선후기,pdf_textbook_term,조선,
277,tg_002_1000,잡과,고려 시대,2,1,22,0,0,0,2,기타,,,고려시대|조선시대,pdf_textbook_term,고려,
278,tg_004_0840,전주 화약,근대,2,1,22,2,0,0,0,기타,,,,pdf_textbook_term,개항기,
279,tg_004_2880,조선 총독,근대,2,1,22,2,0,0,0,기타,,,,pdf_textbook_term,개항기,
280,tg_002_0390,중방,고려 시대,2,1,22,0,0,0,2,기타,,,고려시대|삼국시대,pdf_textbook_term,고려,
281,tg_003_2900,추사체,조선 시대,2,1,22,0,0,0,2,기타,,,조선후기,pdf_textbook_term,조선,
282,tg_004_1360,한성주보,근대,2,1,22,0,0,2,0,기타,,,개항기,pdf_textbook_term,개항기,
283,tg_002_0050,향도,고려 시대,2,1,22,0,0,0,2,단체,,,통시대,pdf_textbook_term,고려,
284,tg_004_1450,혜상공국,근대,2,1,22,0,0,0,2,단체,,,근대,pdf_textbook_term,개항기,
285,tg_003_2250,환곡,조선 시대,2,1,22,0,0,0,2,기타,,,,pdf_textbook_term,조선,
286,tg_003_2260,후시,조선 시대,2,1,22,0,0,0,2,기타,,,조선후기,pdf_textbook_term,조선,
287,tg_002_0990,훈요 10조,고려 시대,2,1,22,2,0,0,0,기타,,,,pdf_textbook_term,고려,
288,tg_001_0420,22부,삼국 시대,1,1,21,0,0,1,0,기타,,,삼국시대,pdf_textbook_term,삼국,
289,tg_002_0410,2군,고려 시대,1,1,21,0,0,0,1,기타,,,고려시대,pdf_textbook_term,고려,
290,tg_002_0430,3경,고려 시대,1,1,21,0,0,0,1,사상·종교,,,삼국시대|고려시대|통시대,pdf_textbook_term,고려,
291,tg_001_0430,5방,삼국 시대,1,1,21,0,0,0,1,기타,,,삼국시대,pdf_textbook_term,삼국,
292,tg_002_0470,6위,고려 시대,1,1,21,0,0,0,1,기타,,,고려시대,pdf_textbook_term,고려,
293,tg_003_0030,6조 직계제,조선 시대,1,1,21,1,0,0,0,기타,,,,pdf_textbook_term,조선,
294,tg_003_2270,강화학파,조선 시대,1,1,21,0,1,0,0,사상·종교,,,조선후기,pdf_textbook_term,조선,
295,tg_003_1520,개시,조선 시대,1,1,21,0,0,0,1,기타,,,조선후기,pdf_textbook_term,조선,
296,tg_004_0060,거문도 사건,근대,1,1,21,0,1,0,0,기타,,,,pdf_textbook_term,개항기,
297,tg_004_0070,건양,근대,1,1,21,0,0,0,1,기타,,,개항기,pdf_textbook_term,개항기,
298,tg_003_2280,검서관,조선 시대,1,1,21,0,0,1,0,기타,,,조선후기,pdf_textbook_term,조선,
299,tg_003_2660,격문,조선 시대,1,1,21,0,0,1,0,기타,,,통시대,pdf_textbook_term,조선,
300,tg_003_1540,견종법,조선 시대,1,1,21,1,0,0,0,기타,,,통시대,pdf_textbook_term,조선,
301,timeline:-1000000:상원 검은모루 동굴 유적,상원 검은모루 동굴 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
302,timeline:-300000:구석기 시대 생활상,구석기 시대 생활상,선사·초기국가,0,0,0,,,,,사건,,,선사·초기국가,history_timeline,선사·초기국가,사건
303,timeline:-300000:연천 전곡리 유적,연천 전곡리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
304,timeline:-300000:주먹도끼,주먹도끼,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
305,timeline:-100000:굴포리 서포항 유적,굴포리 서포항 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
306,timeline:-60000:공주 석장리 유적,공주 석장리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
307,timeline:-40000:슴베찌르개,슴베찌르개,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
308,timeline:-25000:좀돌날 석기,좀돌날 석기,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
309,timeline:-10000:이행기의 구석기 유적,이행기의 구석기 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
310,timeline:-8000:빗살무늬토기,빗살무늬토기,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
311,timeline:-8000:신석기 시대 석기,신석기 시대 석기,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
312,timeline:-8000:제주 고산리 유적,제주 고산리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
313,timeline:-6000:신석기 시대 대외 교류,신석기 시대 대외 교류,선사·초기국가,0,0,0,,,,,사건,,,선사·초기국가,history_timeline,선사·초기국가,사건
314,timeline:-6000:신석기 시대 조개더미 유적(패총),신석기 시대 조개더미 유적(패총),선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
315,timeline:-5000:궁산 유적,궁산 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
316,timeline:-5000:부산 동삼동 유적,부산 동삼동 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
317,timeline:-5000:북한 지역의 신석기 시대 유적과 유물,북한 지역의 신석기 시대 유적과 유물,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
318,timeline:-5000:서울 암사동 유적,서울 암사동 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
319,timeline:-5000:신석기 시대 집과 마을,신석기 시대 집과 마을,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
320,timeline:-5000:양양 오산리 유적,양양 오산리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
321,timeline:-3500:신석기 시대 농경,신석기 시대 농경,선사·초기국가,0,0,0,,,,,사건,,,선사·초기국가,history_timeline,선사·초기국가,사건
322,timeline:-2500:단군,단군,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
323,timeline:-1500:무산 범의구석 유적,무산 범의구석 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
324,timeline:-1500:정선 아우라지 여량리 유적,정선 아우라지 여량리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
325,timeline:-1500:진주 대평 유적,진주 대평 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
326,timeline:-1400:솽퉈즈[雙砣子] 유적,솽퉈즈[雙砣子] 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
327,timeline:-1300:시퇀산[西團山] 문화,시퇀산[西團山] 문화,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
328,timeline:-1200:여주 흔암리 유적,여주 흔암리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
329,timeline:-1200:평양 남경 유적,평양 남경 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
330,timeline:-1100:펑청[鳳城] 둥산[東山]·시산[西山] 유적,펑청[鳳城] 둥산[東山]·시산[西山] 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
331,timeline:-1000:강상[崗上]·러우상[樓上] 돌무지무덤,강상[崗上]·러우상[樓上] 돌무지무덤,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
332,timeline:-1000:마청쯔[馬城子] 문화,마청쯔[馬城子] 문화,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
333,timeline:-1000:황주 침촌리 유적,황주 침촌리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
334,timeline:-900:화순 고인돌 유적,화순 고인돌 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
335,timeline:-800:비파형동검,비파형동검,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
336,timeline:-700:부여 송국리 돌널무덤,부여 송국리 돌널무덤,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
337,timeline:-700:사천 이금동 유적,사천 이금동 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
338,timeline:-700:여수 적량동·월내동 유적,여수 적량동·월내동 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
339,timeline:-700:울산 검단리 유적,울산 검단리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
340,timeline:-700:울산 무거동 옥현 유적,울산 무거동 옥현 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
341,timeline:-700:청도 진라리 유적,청도 진라리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
342,timeline:-400:대전 괴정동 유적,대전 괴정동 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
343,timeline:-400:양평 상자포리 고인돌,양평 상자포리 고인돌,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
344,timeline:-300:고령 장기리 암각화,고령 장기리 암각화,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
345,timeline:-300:세형동검,세형동검,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
346,timeline:-300:완주 갈동 유적,완주 갈동 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
347,timeline:-300:울주 반구대 암각화,울주 반구대 암각화,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
348,timeline:-300:함평 초포리 유적,함평 초포리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
349,timeline:-200:당진 소소리 유적,당진 소소리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
350,timeline:-200:사천 늑도 유적,사천 늑도 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
351,timeline:-200:완주 신풍 유적,완주 신풍 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
352,timeline:-190:위만,위만,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
353,timeline:-100:고조선·한 전쟁,고조선·한 전쟁,선사·초기국가,0,0,0,,,,,사건,,,선사·초기국가,history_timeline,선사·초기국가,사건
354,timeline:-100:경산 양지리 유적,경산 양지리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
355,timeline:-100:경주 조양동 유적,경주 조양동 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
356,timeline:-100:창원 다호리 유적,창원 다호리 유적,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
357,timeline:-50:박혁거세,박혁거세,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
358,timeline:-50:신라 건국,신라 건국,선사·초기국가,0,0,0,,,,,사건,,,선사·초기국가,history_timeline,선사·초기국가,사건
359,timeline:-30:동명성왕,동명성왕,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
360,timeline:-30:고구려 건국,고구려 건국,선사·초기국가,0,0,0,,,,,사건,,,선사·초기국가,history_timeline,선사·초기국가,사건
361,timeline:-30:오녀산성,오녀산성,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
362,timeline:-10:백제 건국,백제 건국,선사·초기국가,0,0,0,,,,,사건,,,선사·초기국가,history_timeline,선사·초기국가,사건
363,timeline:-10:온조왕,온조왕,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
364,timeline:-10:풍납토성,풍납토성,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
365,timeline:10:대무신왕,대무신왕,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
366,timeline:30:신라 6부,신라 6부,선사·초기국가,0,0,0,,,,,단체,,,선사·초기국가,history_timeline,선사·초기국가,조직·단체
367,timeline:40:김수로왕,김수로왕,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
368,timeline:50:태조대왕,태조대왕,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
369,timeline:50:탈해이사금,탈해이사금,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
370,timeline:100:경주 월성,경주 월성,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
371,timeline:100:철정,철정,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
372,timeline:110:석촌동 고분군,석촌동 고분군,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
373,timeline:170:고국천왕,고국천왕,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
374,timeline:190:김수로왕릉,김수로왕릉,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
375,timeline:190:을파소,을파소,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
376,timeline:200:포상팔국의 난,포상팔국의 난,선사·초기국가,0,0,0,,,,,사건,,,선사·초기국가,history_timeline,선사·초기국가,사건
377,timeline:220:동천왕,동천왕,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
378,timeline:230:고이왕,고이왕,선사·초기국가,0,0,0,,,,,인물,,,선사·초기국가,history_timeline,선사·초기국가,인물
379,timeline:230:고구려 5부,고구려 5부,선사·초기국가,0,0,0,,,,,단체,,,선사·초기국가,history_timeline,선사·초기국가,조직·단체
380,timeline:230:고구려돌무지무덤,고구려돌무지무덤,선사·초기국가,0,0,0,,,,,문화재,,,선사·초기국가,history_timeline,선사·초기국가,유물·유적
381,timeline:300:미천왕,미천왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
382,timeline:330:고국원왕,고국원왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
383,timeline:340:근초고왕,근초고왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
384,timeline:350:내물마립간,내물마립간,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
385,timeline:350:부안 죽막동 제사유적,부안 죽막동 제사유적,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
386,timeline:350:신라 돌무지 덧널 무덤,신라 돌무지 덧널 무덤,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
387,timeline:360:칠지도,칠지도,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
388,timeline:370:율령 반포,율령 반포,삼국,0,0,0,,,,,사건,,,삼국,history_timeline,삼국,사건
389,timeline:370:소수림왕,소수림왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
390,timeline:370:불교의 전래와 공인,불교의 전래와 공인,삼국,0,0,0,,,,,사건,,,삼국,history_timeline,삼국,사건
391,timeline:370:왕인,왕인,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
392,timeline:370:고구려 사찰,고구려 사찰,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
393,timeline:390:광개토왕,광개토왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
394,timeline:390:아신왕,아신왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
395,timeline:390:광개토왕의 정복 전쟁,광개토왕의 정복 전쟁,삼국,0,0,0,,,,,사건,,,삼국,history_timeline,삼국,사건
396,timeline:400:전지왕,전지왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
397,timeline:400:가야 갑주,가야 갑주,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
398,timeline:400:고령 지산동 고분군,고령 지산동 고분군,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
399,timeline:400:김해 대성동 고분군,김해 대성동 고분군,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
400,timeline:400:몽촌토성,몽촌토성,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
401,timeline:400:부산 복천동 고분군,부산 복천동 고분군,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
402,timeline:400:신라 금관,신라 금관,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
403,timeline:400:집안고구려비,집안고구려비,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
404,timeline:410:장수왕,장수왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
405,timeline:410:광개토대왕릉비,광개토대왕릉비,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
406,timeline:410:눌지마립간,눌지마립간,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
407,timeline:410:화백 회의,화백 회의,삼국,0,0,0,,,,,단체,,,삼국,history_timeline,삼국,조직·단체
408,timeline:410:장군총,장군총,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
409,timeline:410:호우명 그릇,호우명 그릇,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
410,timeline:420:고구려의 천도,고구려의 천도,삼국,0,0,0,,,,,사건,,,삼국,history_timeline,삼국,사건
411,timeline:420:경당,경당,삼국,0,0,0,,,,,단체,,,삼국,history_timeline,삼국,조직·단체
412,timeline:430:나제동맹,나제동맹,삼국,0,0,0,,,,,사건,,,삼국,history_timeline,삼국,사건
413,timeline:450:개로왕,개로왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
414,timeline:450:경주 황남대총,경주 황남대총,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
415,timeline:450:신라 고분 출토 유리제품,신라 고분 출토 유리제품,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
416,timeline:470:소지마립간,소지마립간,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
417,timeline:470:동성왕,동성왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
418,timeline:490:충주 고구려비,충주 고구려비,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
419,timeline:500:지증왕,지증왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
420,timeline:500:무령왕,무령왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
421,timeline:500:포항 냉수리 신라비,포항 냉수리 신라비,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
422,timeline:500:포항 중성리 신라비,포항 중성리 신라비,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
423,timeline:500:함안 말이산 고분군,함안 말이산 고분군,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
424,timeline:510:법흥왕,법흥왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
425,timeline:520:울진 봉평 신라비,울진 봉평 신라비,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
426,timeline:520:경주 흥륜사지,경주 흥륜사지,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
427,timeline:520:성왕,성왕,삼국,0,0,0,,,,,인물,,,삼국,history_timeline,삼국,인물
428,timeline:520:무령왕릉,무령왕릉,삼국,0,0,0,,,,,문화재,,,삼국,history_timeline,삼국,유물·유적
