person_id,name,birth_year,death_year,bonkwan,ja,ho,father,related_count,detail_url
P000116,강니(姜柅),,,진주(晉州),,,강석우(姜碩遇),4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000116
P000117,강달성(姜達成),,,진주(晉州),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000117
P000118,강달영(姜達永),1887,1942,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000118
P000119,강달욱(姜達旭),1800,1882,진주(晉州),"우약(宇若), 우약(友若)",묵촌(默村),,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000119
P000120,강달제(姜達濟),,,진주(晉州),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000120
P000121,강달형(姜達馨),1837,,진주(晉州),,,강현주(姜顯周),6명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000121
P000122,강담(姜紞),1559,1637,진주(晉州),문경(文卿),,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000122
P000123,강담(姜紞),1656,,진주(晉州),문숙(文淑),,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000123
P000124,강담(姜談),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000124
P000125,강대래(姜大來),1648,,진주(晉州),태여(泰汝),,강헌지(姜獻之),3명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000125
P000126,강대수(姜大遂),1591,1658,진주(晉州),"면재(勉哉), 학안(學顔)","추간(秋磵), 한사정와(寒沙靜窩), 한사만은(寒沙晩隱), 춘간(春磵), 한사(寒沙), 정와(靜窩), 추간(秋澗)",강익문(姜翼文),22명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000126
P000127,강대연(姜大延),1606,1655,진주(晉州),학평(學平),"경호(鏡湖), 독선재(獨善齋)",강익문(姜翼文),6명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000127
P000128,강대적(姜大適),1594,1678,진주(晉州),학중(學仲),"구주(鷗洲), 구주(𩿨洲)",강익문(姜翼文),6명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000128
P000129,강대중(姜大重),,,진주(晉州),,,강시환(姜始煥),7명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000129
P000130,강대호(姜大虎),1541,1624,진주(晉州),호변(虎變),,강욱(姜昱),4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000130
P000131,강대후(姜大後),,,진주(晉州),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000131
P000132,강덕룡(姜德龍),1560,1627,진주(晉州),"여중(汝中), 여중(汝仲)",매촌(梅村),강심(姜深),5명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000132
P000133,강덕부(姜德溥),1682,,진주(晉州),형중(馨仲),,강석항(姜錫恒),11명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000133
P000134,강덕서(姜德瑞),1540,1614,진주(晉州),득길(得吉),,강억(姜億),5명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000134
P000135,강덕수(姜德壽),1514,1548,진주(晉州),학로(學老),청계(淸溪),,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000135
P000136,강덕유(姜德裕),,,진주(晉州),,,강미수(姜尾壽),2명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000136
P000137,강덕윤(姜德胤),1545,,진주(晉州),경승(敬承),,강응서(姜應瑞),5명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000137
P000138,강덕재(姜德載),,,진주(晉州),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000138
P000139,강덕제(姜德濟),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000139
P000140,강덕후(姜德後),1607,1669,진주(晉州),"여득(汝得), 무숙(懋叔)",우곡(愚谷),강진휘(姜晉暉),10명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000140
P000141,강도(姜櫂),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000141
P000142,강돈(姜焞),,,금천(衿川),,,강유경(姜惟慶),7명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000142
P000143,강동석(姜同石),1605,,태인(泰仁),,,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000143
