target_round,recent5_rounds,source,source_name,usage,trend_type,rank,era,topic_train,topic,topic_summary,label,combo_label,combo_label_with_topic,count,ratio,ratio_percent
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era_topic_train,3,조선,인물,,인물 4,조선 + 인물,조선 + 인물,조선 + 인물 (인물 4),4,0.08,8.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era_topic_train,4,일제 강점기,정치,,"사회 3, 군사 1",일제 강점기 + 정치,일제 강점기 + 정치,"일제 강점기 + 정치 (사회 3, 군사 1)",4,0.08,8.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era_topic_train,5,조선,정치,,"외교 1, 경제 1, 정치 1",조선 + 정치,조선 + 정치,"조선 + 정치 (외교 1, 경제 1, 정치 1)",3,0.06,6.0
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,1,조선,,,,조선,,,54,0.216,21.6
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,2,고려,,,,고려,,,44,0.176,17.6
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,3,일제 강점기,,,,일제 강점기,,,37,0.148,14.8
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,4,개항기,,,,개항기,,,32,0.128,12.8
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,5,현대,,,,현대,,,32,0.128,12.8
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,1,조선,,,,조선,,,12,0.24,24.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,2,고려,,,,고려,,,8,0.16,16.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,3,개항기,,,,개항기,,,7,0.14,14.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,4,일제 강점기,,,,일제 강점기,,,7,0.14,14.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,5,남북국 시대,,,,남북국 시대,,,6,0.12,12.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era,1,조선,,,,조선,,,12,0.24,24.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era,2,고려,,,,고려,,,9,0.18,18.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era,3,개항기,,,,개항기,,,7,0.14,14.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era,4,일제 강점기,,,,일제 강점기,,,7,0.14,14.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era,5,현대,,,,현대,,,5,0.1,10.0
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic_train,1,,사건,,,사건,,,90,0.36,36.0
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic_train,2,,인물,,,인물,,,52,0.208,20.8
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic_train,3,,정치,,,정치,,,43,0.172,17.2
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic_train,4,,문화,,,문화,,,36,0.144,14.4
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic_train,5,,제도,,,제도,,,29,0.116,11.6
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic_train,1,,사건,,,사건,,,15,0.3,30.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic_train,2,,인물,,,인물,,,12,0.24,24.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic_train,3,,정치,,,정치,,,11,0.22,22.0
