회차,최근5회차,분류,기준,순위,라벨,시대,통합주제,세부주제,세부주제요약,개수,비율,source,trend_type
75,70~74,시대+통합주제,해당회차 실제,5,개항기 + 사건 (사건 3),개항기,사건,,사건 3,3,6.0%,actual,era_topic_train
75,70~74,시대,최근5회차 실제,1,조선,조선,,,,53,21.2%,recent5_actual,era
75,70~74,시대,최근5회차 실제,2,일제 강점기,일제 강점기,,,,44,17.6%,recent5_actual,era
75,70~74,시대,최근5회차 실제,3,고려,고려,,,,41,16.4%,recent5_actual,era
75,70~74,시대,최근5회차 실제,4,개항기,개항기,,,,32,12.8%,recent5_actual,era
75,70~74,시대,최근5회차 실제,5,현대,현대,,,,30,12.0%,recent5_actual,era
75,70~74,시대,모델분류,1,일제 강점기,일제 강점기,,,,12,24.0%,predicted,era
75,70~74,시대,모델분류,2,조선,조선,,,,9,18.0%,predicted,era
75,70~74,시대,모델분류,3,고려,고려,,,,8,16.0%,predicted,era
75,70~74,시대,모델분류,4,현대,현대,,,,7,14.0%,predicted,era
75,70~74,시대,모델분류,5,삼국 시대,삼국 시대,,,,5,10.0%,predicted,era
75,70~74,시대,해당회차 실제,1,조선,조선,,,,11,22.0%,actual,era
75,70~74,시대,해당회차 실제,2,일제 강점기,일제 강점기,,,,11,22.0%,actual,era
75,70~74,시대,해당회차 실제,3,고려,고려,,,,9,18.0%,actual,era
75,70~74,시대,해당회차 실제,4,삼국 시대,삼국 시대,,,,5,10.0%,actual,era
75,70~74,시대,해당회차 실제,5,개항기,개항기,,,,5,10.0%,actual,era
75,70~74,통합주제,최근5회차 실제,1,사건,,사건,,,79,31.6%,recent5_actual,topic_train
75,70~74,통합주제,최근5회차 실제,2,정치,,정치,,,63,25.2%,recent5_actual,topic_train
75,70~74,통합주제,최근5회차 실제,3,인물,,인물,,,47,18.8%,recent5_actual,topic_train
75,70~74,통합주제,최근5회차 실제,4,문화,,문화,,,34,13.6%,recent5_actual,topic_train
75,70~74,통합주제,최근5회차 실제,5,제도,,제도,,,27,10.8%,recent5_actual,topic_train
75,70~74,통합주제,모델분류,1,사건,,사건,,,20,40.0%,predicted,topic_train
75,70~74,통합주제,모델분류,2,정치,,정치,,,12,24.0%,predicted,topic_train
75,70~74,통합주제,모델분류,3,문화,,문화,,,8,16.0%,predicted,topic_train
75,70~74,통합주제,모델분류,4,인물,,인물,,,7,14.0%,predicted,topic_train
75,70~74,통합주제,모델분류,5,제도,,제도,,,3,6.0%,predicted,topic_train
75,70~74,통합주제,해당회차 실제,1,사건,,사건,,,21,42.0%,actual,topic_train
75,70~74,통합주제,해당회차 실제,2,정치,,정치,,,9,18.0%,actual,topic_train
75,70~74,통합주제,해당회차 실제,3,문화,,문화,,,8,16.0%,actual,topic_train
75,70~74,통합주제,해당회차 실제,4,인물,,인물,,,8,16.0%,actual,topic_train
75,70~74,통합주제,해당회차 실제,5,제도,,제도,,,4,8.0%,actual,topic_train
75,70~74,세부주제,최근5회차 실제,1,사건,,,사건,,78,31.2%,recent5_actual,topic
75,70~74,세부주제,최근5회차 실제,2,인물,,,인물,,47,18.8%,recent5_actual,topic
75,70~74,세부주제,최근5회차 실제,3,문화,,,문화,,29,11.6%,recent5_actual,topic
75,70~74,세부주제,최근5회차 실제,4,정치,,,정치,,28,11.2%,recent5_actual,topic
75,70~74,세부주제,최근5회차 실제,5,제도,,,제도,,27,10.8%,recent5_actual,topic
75,70~74,세부주제,모델분류,1,사건,,,사건,,20,40.0%,predicted,topic
75,70~74,세부주제,모델분류,2,문화,,,문화,,7,14.0%,predicted,topic
75,70~74,세부주제,모델분류,3,인물,,,인물,,7,14.0%,predicted,topic
75,70~74,세부주제,모델분류,4,정치,,,정치,,5,10.0%,predicted,topic
75,70~74,세부주제,모델분류,5,제도,,,제도,,4,8.0%,predicted,topic
75,70~74,세부주제,해당회차 실제,1,사건,,,사건,,21,42.0%,actual,topic
75,70~74,세부주제,해당회차 실제,2,인물,,,인물,,8,16.0%,actual,topic
75,70~74,세부주제,해당회차 실제,3,문화,,,문화,,7,14.0%,actual,topic
75,70~74,세부주제,해당회차 실제,4,정치,,,정치,,4,8.0%,actual,topic
75,70~74,세부주제,해당회차 실제,5,제도,,,제도,,4,8.0%,actual,topic
76,71~75,시대+통합주제,최근5회차 실제,1,개항기 + 사건 (사건 21),개항기,사건,,사건 21,21,8.4%,recent5_actual,era_topic_train
76,71~75,시대+통합주제,최근5회차 실제,2,일제 강점기 + 사건 (사건 17),일제 강점기,사건,,사건 17,17,6.8%,recent5_actual,era_topic_train
76,71~75,시대+통합주제,최근5회차 실제,3,"일제 강점기 + 정치 (정치 5, 군사 5, 사회 5)",일제 강점기,정치,,"정치 5, 군사 5, 사회 5",16,6.4%,recent5_actual,era_topic_train
76,71~75,시대+통합주제,최근5회차 실제,4,현대 + 사건 (사건 15),현대,사건,,사건 15,15,6.0%,recent5_actual,era_topic_train
76,71~75,시대+통합주제,최근5회차 실제,5,조선 + 사건 (사건 13),조선,사건,,사건 13,13,5.2%,recent5_actual,era_topic_train
76,71~75,시대+통합주제,모델분류,1,조선 + 사건 (사건 5),조선,사건,,사건 5,5,10.0%,predicted,era_topic_train
76,71~75,시대+통합주제,모델분류,2,"조선 + 인물 (인물 3, 문화 1)",조선,인물,,"인물 3, 문화 1",4,8.0%,predicted,era_topic_train
76,71~75,시대+통합주제,모델분류,3,"일제 강점기 + 정치 (정치 2, 사회 1, 사건 1)",일제 강점기,정치,,"정치 2, 사회 1, 사건 1",4,8.0%,predicted,era_topic_train
76,71~75,시대+통합주제,모델분류,4,고려 + 사건 (사건 3),고려,사건,,사건 3,3,6.0%,predicted,era_topic_train
76,71~75,시대+통합주제,모델분류,5,조선 + 제도 (제도 3),조선,제도,,제도 3,3,6.0%,predicted,era_topic_train
76,71~75,시대+통합주제,해당회차 실제,1,개항기 + 사건 (사건 4),개항기,사건,,사건 4,4,8.0%,actual,era_topic_train
76,71~75,시대+통합주제,해당회차 실제,2,일제 강점기 + 사건 (사건 4),일제 강점기,사건,,사건 4,4,8.0%,actual,era_topic_train
76,71~75,시대+통합주제,해당회차 실제,3,고려 + 사건 (사건 3),고려,사건,,사건 3,3,6.0%,actual,era_topic_train
76,71~75,시대+통합주제,해당회차 실제,4,조선 + 사건 (사건 3),조선,사건,,사건 3,3,6.0%,actual,era_topic_train
76,71~75,시대+통합주제,해당회차 실제,5,조선 + 인물 (인물 3),조선,인물,,인물 3,3,6.0%,actual,era_topic_train
76,71~75,시대,최근5회차 실제,1,조선,조선,,,,53,21.2%,recent5_actual,era
76,71~75,시대,최근5회차 실제,2,일제 강점기,일제 강점기,,,,46,18.4%,recent5_actual,era
76,71~75,시대,최근5회차 실제,3,고려,고려,,,,43,17.2%,recent5_actual,era
76,71~75,시대,최근5회차 실제,4,개항기,개항기,,,,32,12.8%,recent5_actual,era
76,71~75,시대,최근5회차 실제,5,현대,현대,,,,26,10.4%,recent5_actual,era
76,71~75,시대,모델분류,1,조선,조선,,,,13,26.0%,predicted,era
76,71~75,시대,모델분류,2,고려,고려,,,,9,18.0%,predicted,era
76,71~75,시대,모델분류,3,일제 강점기,일제 강점기,,,,7,14.0%,predicted,era
76,71~75,시대,모델분류,4,개항기,개항기,,,,6,12.0%,predicted,era
76,71~75,시대,모델분류,5,삼국 시대,삼국 시대,,,,5,10.0%,predicted,era
76,71~75,시대,해당회차 실제,1,조선,조선,,,,10,20.0%,actual,era
76,71~75,시대,해당회차 실제,2,고려,고려,,,,9,18.0%,actual,era
76,71~75,시대,해당회차 실제,3,개항기,개항기,,,,9,18.0%,actual,era
76,71~75,시대,해당회차 실제,4,일제 강점기,일제 강점기,,,,8,16.0%,actual,era
76,71~75,시대,해당회차 실제,5,남북국 시대,남북국 시대,,,,5,10.0%,actual,era
76,71~75,통합주제,최근5회차 실제,1,사건,,사건,,,86,34.4%,recent5_actual,topic_train
76,71~75,통합주제,최근5회차 실제,2,정치,,정치,,,63,25.2%,recent5_actual,topic_train
76,71~75,통합주제,최근5회차 실제,3,인물,,인물,,,41,16.4%,recent5_actual,topic_train
76,71~75,통합주제,최근5회차 실제,4,문화,,문화,,,34,13.6%,recent5_actual,topic_train
76,71~75,통합주제,최근5회차 실제,5,제도,,제도,,,26,10.4%,recent5_actual,topic_train
76,71~75,통합주제,모델분류,1,사건,,사건,,,17,34.0%,predicted,topic_train
76,71~75,통합주제,모델분류,2,인물,,인물,,,11,22.0%,predicted,topic_train
76,71~75,통합주제,모델분류,3,정치,,정치,,,9,18.0%,predicted,topic_train
76,71~75,통합주제,모델분류,4,문화,,문화,,,8,16.0%,predicted,topic_train
76,71~75,통합주제,모델분류,5,제도,,제도,,,5,10.0%,predicted,topic_train
76,71~75,통합주제,해당회차 실제,1,사건,,사건,,,19,38.0%,actual,topic_train
76,71~75,통합주제,해당회차 실제,2,인물,,인물,,,9,18.0%,actual,topic_train
76,71~75,통합주제,해당회차 실제,3,문화,,문화,,,8,16.0%,actual,topic_train
76,71~75,통합주제,해당회차 실제,4,정치,,정치,,,8,16.0%,actual,topic_train
76,71~75,통합주제,해당회차 실제,5,제도,,제도,,,6,12.0%,actual,topic_train
76,71~75,세부주제,최근5회차 실제,1,사건,,,사건,,85,34.0%,recent5_actual,topic
76,71~75,세부주제,최근5회차 실제,2,인물,,,인물,,41,16.4%,recent5_actual,topic
76,71~75,세부주제,최근5회차 실제,3,문화,,,문화,,31,12.4%,recent5_actual,topic
76,71~75,세부주제,최근5회차 실제,4,정치,,,정치,,28,11.2%,recent5_actual,topic
76,71~75,세부주제,최근5회차 실제,5,제도,,,제도,,26,10.4%,recent5_actual,topic
76,71~75,세부주제,모델분류,1,사건,,,사건,,17,34.0%,predicted,topic
76,71~75,세부주제,모델분류,2,정치,,,정치,,9,18.0%,predicted,topic
76,71~75,세부주제,모델분류,3,문화,,,문화,,8,16.0%,predicted,topic
76,71~75,세부주제,모델분류,4,인물,,,인물,,8,16.0%,predicted,topic
76,71~75,세부주제,모델분류,5,제도,,,제도,,4,8.0%,predicted,topic
76,71~75,세부주제,해당회차 실제,1,사건,,,사건,,19,38.0%,actual,topic
76,71~75,세부주제,해당회차 실제,2,인물,,,인물,,9,18.0%,actual,topic
76,71~75,세부주제,해당회차 실제,3,문화,,,문화,,7,14.0%,actual,topic
76,71~75,세부주제,해당회차 실제,4,제도,,,제도,,6,12.0%,actual,topic
76,71~75,세부주제,해당회차 실제,5,정치,,,정치,,6,12.0%,actual,topic
77,72~76,시대+통합주제,최근5회차 실제,1,개항기 + 사건 (사건 21),개항기,사건,,사건 21,21,8.4%,recent5_actual,era_topic_train
77,72~76,시대+통합주제,최근5회차 실제,2,일제 강점기 + 사건 (사건 17),일제 강점기,사건,,사건 17,17,6.8%,recent5_actual,era_topic_train
77,72~76,시대+통합주제,최근5회차 실제,3,조선 + 인물 (인물 15),조선,인물,,인물 15,15,6.0%,recent5_actual,era_topic_train
77,72~76,시대+통합주제,최근5회차 실제,4,"일제 강점기 + 정치 (사회 5, 정치 5, 군사 4)",일제 강점기,정치,,"사회 5, 정치 5, 군사 4",15,6.0%,recent5_actual,era_topic_train
77,72~76,시대+통합주제,최근5회차 실제,5,현대 + 사건 (사건 15),현대,사건,,사건 15,15,6.0%,recent5_actual,era_topic_train
77,72~76,시대+통합주제,모델분류,1,일제 강점기 + 사건 (사건 5),일제 강점기,사건,,사건 5,5,10.0%,predicted,era_topic_train
77,72~76,시대+통합주제,모델분류,2,고려 + 인물 (인물 3),고려,인물,,인물 3,3,6.0%,predicted,era_topic_train
77,72~76,시대+통합주제,모델분류,3,"조선 + 제도 (제도 2, 인물 1)",조선,제도,,"제도 2, 인물 1",3,6.0%,predicted,era_topic_train
77,72~76,시대+통합주제,모델분류,4,조선 + 인물 (인물 3),조선,인물,,인물 3,3,6.0%,predicted,era_topic_train
77,72~76,시대+통합주제,모델분류,5,조선 + 사건 (사건 3),조선,사건,,사건 3,3,6.0%,predicted,era_topic_train
77,72~76,시대+통합주제,해당회차 실제,1,고려 + 인물 (인물 4),고려,인물,,인물 4,4,8.0%,actual,era_topic_train
77,72~76,시대+통합주제,해당회차 실제,2,개항기 + 사건 (사건 4),개항기,사건,,사건 4,4,8.0%,actual,era_topic_train
77,72~76,시대+통합주제,해당회차 실제,3,"일제 강점기 + 정치 (정치 2, 경제 1, 군사 1)",일제 강점기,정치,,"정치 2, 경제 1, 군사 1",4,8.0%,actual,era_topic_train
77,72~76,시대+통합주제,해당회차 실제,4,"조선 + 정치 (외교 1, 정치 1, 경제 1)",조선,정치,,"외교 1, 정치 1, 경제 1",3,6.0%,actual,era_topic_train
77,72~76,시대+통합주제,해당회차 실제,5,삼국 시대 + 인물 (인물 2),삼국 시대,인물,,인물 2,2,4.0%,actual,era_topic_train
77,72~76,시대,최근5회차 실제,1,조선,조선,,,,54,21.6%,recent5_actual,era
77,72~76,시대,최근5회차 실제,2,일제 강점기,일제 강점기,,,,45,18.0%,recent5_actual,era
77,72~76,시대,최근5회차 실제,3,고려,고려,,,,44,17.6%,recent5_actual,era
77,72~76,시대,최근5회차 실제,4,개항기,개항기,,,,34,13.6%,recent5_actual,era
77,72~76,시대,최근5회차 실제,5,현대,현대,,,,26,10.4%,recent5_actual,era
77,72~76,시대,모델분류,1,조선,조선,,,,11,22.0%,predicted,era
77,72~76,시대,모델분류,2,일제 강점기,일제 강점기,,,,11,22.0%,predicted,era
77,72~76,시대,모델분류,3,고려,고려,,,,8,16.0%,predicted,era
77,72~76,시대,모델분류,4,삼국 시대,삼국 시대,,,,5,10.0%,predicted,era
77,72~76,시대,모델분류,5,남북국 시대,남북국 시대,,,,4,8.0%,predicted,era
77,72~76,시대,해당회차 실제,1,일제 강점기,일제 강점기,,,,11,22.0%,actual,era
77,72~76,시대,해당회차 실제,2,고려,고려,,,,9,18.0%,actual,era
77,72~76,시대,해당회차 실제,3,조선,조선,,,,9,18.0%,actual,era
77,72~76,시대,해당회차 실제,4,개항기,개항기,,,,6,12.0%,actual,era
77,72~76,시대,해당회차 실제,5,삼국 시대,삼국 시대,,,,5,10.0%,actual,era
77,72~76,통합주제,최근5회차 실제,1,사건,,사건,,,86,34.4%,recent5_actual,topic_train
77,72~76,통합주제,최근5회차 실제,2,정치,,정치,,,61,24.4%,recent5_actual,topic_train
77,72~76,통합주제,최근5회차 실제,3,인물,,인물,,,42,16.8%,recent5_actual,topic_train
77,72~76,통합주제,최근5회차 실제,4,문화,,문화,,,34,13.6%,recent5_actual,topic_train
77,72~76,통합주제,최근5회차 실제,5,제도,,제도,,,27,10.8%,recent5_actual,topic_train
77,72~76,통합주제,모델분류,1,사건,,사건,,,14,28.0%,predicted,topic_train
77,72~76,통합주제,모델분류,2,인물,,인물,,,12,24.0%,predicted,topic_train
77,72~76,통합주제,모델분류,3,정치,,정치,,,9,18.0%,predicted,topic_train
77,72~76,통합주제,모델분류,4,제도,,제도,,,8,16.0%,predicted,topic_train
77,72~76,통합주제,모델분류,5,문화,,문화,,,7,14.0%,predicted,topic_train
77,72~76,통합주제,해당회차 실제,1,정치,,정치,,,14,28.0%,actual,topic_train
77,72~76,통합주제,해당회차 실제,2,인물,,인물,,,11,22.0%,actual,topic_train
77,72~76,통합주제,해당회차 실제,3,사건,,사건,,,11,22.0%,actual,topic_train
77,72~76,통합주제,해당회차 실제,4,제도,,제도,,,8,16.0%,actual,topic_train
77,72~76,통합주제,해당회차 실제,5,문화,,문화,,,6,12.0%,actual,topic_train
77,72~76,세부주제,최근5회차 실제,1,사건,,,사건,,86,34.4%,recent5_actual,topic
77,72~76,세부주제,최근5회차 실제,2,인물,,,인물,,42,16.8%,recent5_actual,topic
77,72~76,세부주제,최근5회차 실제,3,문화,,,문화,,30,12.0%,recent5_actual,topic
77,72~76,세부주제,최근5회차 실제,4,정치,,,정치,,28,11.2%,recent5_actual,topic
77,72~76,세부주제,최근5회차 실제,5,제도,,,제도,,27,10.8%,recent5_actual,topic
77,72~76,세부주제,모델분류,1,사건,,,사건,,15,30.0%,predicted,topic
77,72~76,세부주제,모델분류,2,인물,,,인물,,14,28.0%,predicted,topic
77,72~76,세부주제,모델분류,3,제도,,,제도,,7,14.0%,predicted,topic
77,72~76,세부주제,모델분류,4,문화,,,문화,,6,12.0%,predicted,topic
77,72~76,세부주제,모델분류,5,정치,,,정치,,4,8.0%,predicted,topic
77,72~76,세부주제,해당회차 실제,1,인물,,,인물,,11,22.0%,actual,topic
77,72~76,세부주제,해당회차 실제,2,사건,,,사건,,11,22.0%,actual,topic
77,72~76,세부주제,해당회차 실제,3,제도,,,제도,,8,16.0%,actual,topic
77,72~76,세부주제,해당회차 실제,4,정치,,,정치,,6,12.0%,actual,topic
77,72~76,세부주제,해당회차 실제,5,문화,,,문화,,5,10.0%,actual,topic
78,73~77,시대+통합주제,최근5회차 실제,1,개항기 + 사건 (사건 20),개항기,사건,,사건 20,20,8.0%,recent5_actual,era_topic_train
78,73~77,시대+통합주제,최근5회차 실제,2,일제 강점기 + 사건 (사건 18),일제 강점기,사건,,사건 18,18,7.2%,recent5_actual,era_topic_train
78,73~77,시대+통합주제,최근5회차 실제,3,"일제 강점기 + 정치 (정치 7, 군사 4, 경제 2)",일제 강점기,정치,,"정치 7, 군사 4, 경제 2",15,6.0%,recent5_actual,era_topic_train
78,73~77,시대+통합주제,최근5회차 실제,4,현대 + 사건 (사건 14),현대,사건,,사건 14,14,5.6%,recent5_actual,era_topic_train
78,73~77,시대+통합주제,최근5회차 실제,5,조선 + 인물 (인물 13),조선,인물,,인물 13,13,5.2%,recent5_actual,era_topic_train
78,73~77,시대+통합주제,모델분류,1,개항기 + 사건 (사건 5),개항기,사건,,사건 5,5,10.0%,predicted,era_topic_train
78,73~77,시대+통합주제,모델분류,2,"고려 + 인물 (인물 3, 정치 1)",고려,인물,,"인물 3, 정치 1",4,8.0%,predicted,era_topic_train
78,73~77,시대+통합주제,모델분류,3,조선 + 사건 (사건 3),조선,사건,,사건 3,3,6.0%,predicted,era_topic_train
78,73~77,시대+통합주제,모델분류,4,조선 + 제도 (제도 3),조선,제도,,제도 3,3,6.0%,predicted,era_topic_train
78,73~77,시대+통합주제,모델분류,5,현대 + 사건 (사건 3),현대,사건,,사건 3,3,6.0%,predicted,era_topic_train
78,73~77,시대+통합주제,해당회차 실제,1,고려 + 인물 (인물 4),고려,인물,,인물 4,4,8.0%,actual,era_topic_train
78,73~77,시대+통합주제,해당회차 실제,2,개항기 + 사건 (사건 4),개항기,사건,,사건 4,4,8.0%,actual,era_topic_train
78,73~77,시대+통합주제,해당회차 실제,3,일제 강점기 + 사건 (사건 4),일제 강점기,사건,,사건 4,4,8.0%,actual,era_topic_train
78,73~77,시대+통합주제,해당회차 실제,4,현대 + 사건 (사건 4),현대,사건,,사건 4,4,8.0%,actual,era_topic_train
78,73~77,시대+통합주제,해당회차 실제,5,조선 + 사건 (사건 3),조선,사건,,사건 3,3,6.0%,actual,era_topic_train
78,73~77,시대,최근5회차 실제,1,조선,조선,,,,51,20.4%,recent5_actual,era
78,73~77,시대,최근5회차 실제,2,일제 강점기,일제 강점기,,,,49,19.6%,recent5_actual,era
78,73~77,시대,최근5회차 실제,3,고려,고려,,,,44,17.6%,recent5_actual,era
78,73~77,시대,최근5회차 실제,4,개항기,개항기,,,,33,13.2%,recent5_actual,era
78,73~77,시대,최근5회차 실제,5,현대,현대,,,,25,10.0%,recent5_actual,era
78,73~77,시대,모델분류,1,고려,고려,,,,9,18.0%,predicted,era
78,73~77,시대,모델분류,2,개항기,개항기,,,,9,18.0%,predicted,era
78,73~77,시대,모델분류,3,일제 강점기,일제 강점기,,,,9,18.0%,predicted,era
78,73~77,시대,모델분류,4,조선,조선,,,,8,16.0%,predicted,era
78,73~77,시대,모델분류,5,현대,현대,,,,6,12.0%,predicted,era
78,73~77,시대,해당회차 실제,1,일제 강점기,일제 강점기,,,,10,20.0%,actual,era
78,73~77,시대,해당회차 실제,2,고려,고려,,,,9,18.0%,actual,era
78,73~77,시대,해당회차 실제,3,조선,조선,,,,9,18.0%,actual,era
78,73~77,시대,해당회차 실제,4,개항기,개항기,,,,7,14.0%,actual,era
78,73~77,시대,해당회차 실제,5,현대,현대,,,,6,12.0%,actual,era
78,73~77,통합주제,최근5회차 실제,1,사건,,사건,,,85,34.0%,recent5_actual,topic_train
78,73~77,통합주제,최근5회차 실제,2,정치,,정치,,,55,22.0%,recent5_actual,topic_train
78,73~77,통합주제,최근5회차 실제,3,인물,,인물,,,45,18.0%,recent5_actual,topic_train
78,73~77,통합주제,최근5회차 실제,4,문화,,문화,,,35,14.0%,recent5_actual,topic_train
78,73~77,통합주제,최근5회차 실제,5,제도,,제도,,,30,12.0%,recent5_actual,topic_train
78,73~77,통합주제,모델분류,1,사건,,사건,,,18,36.0%,predicted,topic_train
78,73~77,통합주제,모델분류,2,제도,,제도,,,10,20.0%,predicted,topic_train
78,73~77,통합주제,모델분류,3,인물,,인물,,,9,18.0%,predicted,topic_train
78,73~77,통합주제,모델분류,4,문화,,문화,,,7,14.0%,predicted,topic_train
78,73~77,통합주제,모델분류,5,정치,,정치,,,6,12.0%,predicted,topic_train
78,73~77,통합주제,해당회차 실제,1,사건,,사건,,,20,40.0%,actual,topic_train
78,73~77,통합주제,해당회차 실제,2,인물,,인물,,,11,22.0%,actual,topic_train
78,73~77,통합주제,해당회차 실제,3,문화,,문화,,,7,14.0%,actual,topic_train
78,73~77,통합주제,해당회차 실제,4,제도,,제도,,,7,14.0%,actual,topic_train
78,73~77,통합주제,해당회차 실제,5,정치,,정치,,,5,10.0%,actual,topic_train
78,73~77,세부주제,최근5회차 실제,1,사건,,,사건,,85,34.0%,recent5_actual,topic
78,73~77,세부주제,최근5회차 실제,2,인물,,,인물,,45,18.0%,recent5_actual,topic
78,73~77,세부주제,최근5회차 실제,3,문화,,,문화,,30,12.0%,recent5_actual,topic
78,73~77,세부주제,최근5회차 실제,4,제도,,,제도,,30,12.0%,recent5_actual,topic
78,73~77,세부주제,최근5회차 실제,5,정치,,,정치,,24,9.6%,recent5_actual,topic
78,73~77,세부주제,모델분류,1,사건,,,사건,,17,34.0%,predicted,topic
78,73~77,세부주제,모델분류,2,제도,,,제도,,10,20.0%,predicted,topic
78,73~77,세부주제,모델분류,3,인물,,,인물,,8,16.0%,predicted,topic
78,73~77,세부주제,모델분류,4,문화,,,문화,,6,12.0%,predicted,topic
78,73~77,세부주제,모델분류,5,경제,,,경제,,3,6.0%,predicted,topic
78,73~77,세부주제,해당회차 실제,1,사건,,,사건,,20,40.0%,actual,topic
78,73~77,세부주제,해당회차 실제,2,인물,,,인물,,11,22.0%,actual,topic
78,73~77,세부주제,해당회차 실제,3,제도,,,제도,,7,14.0%,actual,topic
78,73~77,세부주제,해당회차 실제,4,문화,,,문화,,6,12.0%,actual,topic
78,73~77,세부주제,해당회차 실제,5,경제,,,경제,,3,6.0%,actual,topic
