term_id,category_id,category_path,source_term_lk
10487306,CAT_00043,교통·통신>교통로,교통·통신>교통로
10487308,CAT_00043,교통·통신>교통로,교통·통신>교통로
10487311,CAT_00129,정치·행정·법제>법·법령,정치·행정·법제>법·법령
10487314,CAT_00198,사회·생활>가족·친족>가족제도,사회·생활>가족·친족>가족제도
10487316,CAT_00235,사회운동·독립운동>사회운동>시민운동,사회운동·독립운동>사회운동>시민운동
10487318,CAT_00235,사회운동·독립운동>사회운동>시민운동,사회운동·독립운동>사회운동>시민운동
10487321,CAT_00063,문화·예술>문화시설,문화·예술>문화시설
10487326,CAT_00160,경제·산업>농업>농업시설,경제·산업>농업>농업시설
10487328,CAT_00353,정치·행정·법제>행정>중앙행정기구,정치·행정·법제>행정>중앙행정기구
10487331,CAT_00353,정치·행정·법제>행정>중앙행정기구,정치·행정·법제>행정>중앙행정기구
10487333,CAT_00353,정치·행정·법제>행정>중앙행정기구,정치·행정·법제>행정>중앙행정기구
10487345,CAT_00341,전통사상·종교>천주교(서학)>천주교관련시설,전통사상·종교>천주교(서학)>천주교관련시설
10487349,CAT_00341,전통사상·종교>천주교(서학)>천주교관련시설,전통사상·종교>천주교(서학)>천주교관련시설
10487352,CAT_00341,전통사상·종교>천주교(서학)>천주교관련시설,전통사상·종교>천주교(서학)>천주교관련시설
10487354,CAT_00203,사회·생활>보건·복지>의료,사회·생활>보건·복지>의료
10487357,CAT_00341,전통사상·종교>천주교(서학)>천주교관련시설,전통사상·종교>천주교(서학)>천주교관련시설
10487362,CAT_00063,문화·예술>문화시설,문화·예술>문화시설
10487365,CAT_00009,서명,서명
10487369,CAT_00186,교육>근대교육기관>특수교육기관,교육>근대교육기관>특수교육기관
10487371,CAT_00186,교육>근대교육기관>특수교육기관,교육>근대교육기관>특수교육기관
10487374,CAT_00186,교육>근대교육기관>특수교육기관,교육>근대교육기관>특수교육기관
10487377,CAT_00186,교육>근대교육기관>특수교육기관,교육>근대교육기관>특수교육기관
10487386,CAT_00118,전통사상·종교>기타종교,전통사상·종교>기타종교
10487389,CAT_00118,전통사상·종교>기타종교,전통사상·종교>기타종교
10487392,CAT_00118,전통사상·종교>기타종교,전통사상·종교>기타종교
10487394,CAT_00179,교육>근대교육기관>고등교육기관,교육>근대교육기관>고등교육기관
10487396,CAT_00184,교육>근대교육기관>중등교육기관,교육>근대교육기관>중등교육기관
10487398,CAT_00274,외교·국제관계>북한>경제·산업(북한),외교·국제관계>북한>경제·산업(북한)
10487402,CAT_00274,외교·국제관계>북한>경제·산업(북한),외교·국제관계>북한>경제·산업(북한)
14680297,CAT_00125,전통사상·종교>종교기관·단체,전통사상·종교>종교기관·단체
14680302,CAT_00126,전통사상·종교>종교정책,전통사상·종교>종교정책
14680304,CAT_00126,전통사상·종교>종교정책,전통사상·종교>종교정책
14680307,CAT_00043,교통·통신>교통로,교통·통신>교통로
14680309,CAT_00227,사회운동·독립운동>독립운동>항일무장투쟁,사회운동·독립운동>독립운동>항일무장투쟁
14680311,CAT_00227,사회운동·독립운동>독립운동>항일무장투쟁,사회운동·독립운동>독립운동>항일무장투쟁
14680313,CAT_00227,사회운동·독립운동>독립운동>항일무장투쟁,사회운동·독립운동>독립운동>항일무장투쟁
14680315,CAT_00227,사회운동·독립운동>독립운동>항일무장투쟁,사회운동·독립운동>독립운동>항일무장투쟁
14680317,CAT_00108,외교·국제관계>재외동포·단체,외교·국제관계>재외동포·단체
14680319,CAT_00067,문화·예술>언론·출판,문화·예술>언론·출판
14680323,CAT_00224,사회운동·독립운동>독립운동>의거·의열투쟁,사회운동·독립운동>독립운동>의거·의열투쟁
14680325,CAT_00062,문화·예술>문화기구·단체,문화·예술>문화기구·단체
14680327,CAT_00239,사회운동·독립운동>사회운동>학생운동,사회운동·독립운동>사회운동>학생운동
14680329,CAT_00222,사회운동·독립운동>독립운동>민족주의운동(독립),사회운동·독립운동>독립운동>민족주의운동(독립)
14680331,CAT_00086,사회운동·독립운동>농민운동·항쟁,사회운동·독립운동>농민운동·항쟁
14680333,CAT_00086,사회운동·독립운동>농민운동·항쟁,사회운동·독립운동>농민운동·항쟁
14680335,CAT_00086,사회운동·독립운동>농민운동·항쟁,사회운동·독립운동>농민운동·항쟁
14680337,CAT_00086,사회운동·독립운동>농민운동·항쟁,사회운동·독립운동>농민운동·항쟁
14680339,CAT_00222,사회운동·독립운동>독립운동>민족주의운동(독립),사회운동·독립운동>독립운동>민족주의운동(독립)
14680341,CAT_00222,사회운동·독립운동>독립운동>민족주의운동(독립),사회운동·독립운동>독립운동>민족주의운동(독립)
14680343,CAT_00036,교육>교육사상·정책,교육>교육사상·정책
14680345,CAT_00129,정치·행정·법제>법·법령,정치·행정·법제>법·법령
14680347,CAT_00036,교육>교육사상·정책,교육>교육사상·정책
14680350,CAT_00226,사회운동·독립운동>독립운동>통일전선운동,사회운동·독립운동>독립운동>통일전선운동
14680353,CAT_00226,사회운동·독립운동>독립운동>통일전선운동,사회운동·독립운동>독립운동>통일전선운동
14680356,CAT_00225,사회운동·독립운동>독립운동>의병운동,사회운동·독립운동>독립운동>의병운동
14680358,CAT_00086,사회운동·독립운동>농민운동·항쟁,사회운동·독립운동>농민운동·항쟁
14680360,CAT_00243,사회운동·독립운동>일본제국주의>친일활동,사회운동·독립운동>일본제국주의>친일활동
14680363,CAT_00222,사회운동·독립운동>독립운동>민족주의운동(독립),사회운동·독립운동>독립운동>민족주의운동(독립)
14680366,CAT_00222,사회운동·독립운동>독립운동>민족주의운동(독립),사회운동·독립운동>독립운동>민족주의운동(독립)
14680369,CAT_00222,사회운동·독립운동>독립운동>민족주의운동(독립),사회운동·독립운동>독립운동>민족주의운동(독립)
14680371,CAT_00185,교육>근대교육기관>초등교육기관,교육>근대교육기관>초등교육기관
