entity_id,source_record_id,graph_release_id
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0378:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0378:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029235:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029235:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029248:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029248:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P045068:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P045068:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0379:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0379:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P043388:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P043388:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0381:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0381:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0382:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0382:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P006539:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P006539:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P011501:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P011501:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P028691:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P028691:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029240:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029240:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P062624:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P062624:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0385:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0385:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P044686:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P044686:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0386:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0386:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P009578:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P009578:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P035904:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P035904:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P044688:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P044688:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P059461:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P059461:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P059464:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P059464:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P060125:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P060125:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0387:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0387:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029319:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029319:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P054520:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P054520:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0388:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0388:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P014095:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P014095:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P046471:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P046471:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P050040:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P050040:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
